regime,scenario,model,n,rmse,mae,r2,correlation
CV-GE-continuous,efold_0__gfold_3,G+E+GxE,1811,2.6080629978706176,2.0533593554412737,0.23335582799749954,0.5141031654869479
CV-GE-continuous,efold_0__gfold_3,Mean,1811,3.0055558629329933,2.4242669543355975,-0.018139512714068218,-4.215029063077616e-17
CV-GE-continuous,efold_0__gfold_4,E,1845,2.931074531287187,2.317252290698352,0.04263673834664006,0.3176754834660029
CV-GE-continuous,efold_0__gfold_4,G,1845,2.763774238929348,2.2477289375418503,0.1488067657739498,0.4191292731350791
CV-GE-continuous,efold_0__gfold_4,G+E,1845,2.714265093723638,2.1146828776661852,0.1790294899992375,0.4485861317463395
CV-GE-continuous,efold_0__gfold_4,G+E+GxE,1845,2.582142618115037,2.025764251710623,0.25700911562237194,0.5335887375182298
CV-GE-continuous,efold_0__gfold_4,Mean,1845,3.0216220667855374,2.4350071301395473,-0.017427146170122088,2.0569575681284877e-17
CV-GE-continuous,efold_1__gfold_0,E,2260,2.9508897708504165,2.4819904282691327,0.06868750756349573,0.38459541147997023
CV-GE-continuous,efold_1__gfold_0,G,2260,3.132389014562328,2.5929114976470107,-0.04939946653165683,0.22802066588625378
CV-GE-continuous,efold_1__gfold_0,G+E,2260,2.8696298564453877,2.389230597789085,0.11927318533425368,0.40925831469464685
CV-GE-continuous,efold_1__gfold_0,G+E+GxE,2260,3.0858588607370776,2.491936060276055,-0.018454360643882506,0.31027197273845153
CV-GE-continuous,efold_1__gfold_0,Mean,2260,3.252323026643658,2.7087419458191855,-0.13129743549939565,
CV-GE-continuous,efold_1__gfold_1,E,2468,3.05884511811866,2.5779605499049443,0.10458317002056683,0.3955208979687138
CV-GE-continuous,efold_1__gfold_1,G,2468,3.2861285364808164,2.714826680623382,-0.033425971346231265,0.2174312693775571
CV-GE-continuous,efold_1__gfold_1,G+E,2468,2.9912620103631586,2.4959908184394273,0.14371331900440498,0.421803975126678
CV-GE-continuous,efold_1__gfold_1,G+E+GxE,2468,3.1500274090774387,2.55313725304194,0.05040385358746069,0.33871464238772875
CV-GE-continuous,efold_1__gfold_1,Mean,2468,3.3675090638816054,2.8064765770805917,-0.08524507791615932,
CV-GE-continuous,efold_1__gfold_2,E,2193,2.903962329272244,2.407916635400125,0.09435602759549433,0.3671662714783242
CV-GE-continuous,efold_1__gfold_2,G,2193,3.092555537167353,2.531475356063238,-0.027094868665485494,0.24871751907617598
CV-GE-continuous,efold_1__gfold_2,G+E,2193,2.836166599791654,2.335955688273435,0.136148641003923,0.412833764088623
CV-GE-continuous,efold_1__gfold_2,G+E+GxE,2193,3.021850273236853,2.43637375975239,0.01933329977439968,0.3381627222222702
CV-GE-continuous,efold_1__gfold_2,Mean,2193,3.1754980784155684,2.6251569344070185,-0.08292717709379249,-2.2191447456820241e-16
CV-GE-continuous,efold_1__gfold_3,E,2370,2.977178324641222,2.503956328007517,0.0726881974019421,0.3702814192626205
CV-GE-continuous,efold_1__gfold_3,G,2370,3.14849280732705,2.5855608588775794,-0.03710207101911278,0.23581471741748974
CV-GE-continuous,efold_1__gfold_3,G+E,2370,2.876983879773318,2.391887322679775,0.13405372682604977,0.41927549809797243
CV-GE-continuous,efold_1__gfold_3,G+E+GxE,2370,3.066045027995623,2.4794667869290468,0.016502754863699676,0.33273658289186936
CV-GE-continuous,efold_1__gfold_3,Mean,2370,3.270847923173298,2.709772731176893,-0.11927497802867149,
CV-GE-continuous,efold_1__gfold_4,E,2373,3.012798250415761,2.532262481379694,0.05832068704942528,0.37012713982020673
CV-GE-continuous,efold_1__gfold_4,G,2373,3.2088441009006825,2.6421903859509475,-0.0682186706139607,0.22199963888949054
CV-GE-continuous,efold_1__gfold_4,G+E,2373,2.9162774253467756,2.4265008757527307,0.11769122007724064,0.4114093153838563
CV-GE-continuous,efold_1__gfold_4,G+E+GxE,2373,3.1447056033455225,2.535395350433103,-0.025942256528693308,0.32093136942367056
CV-GE-continuous,efold_1__gfold_4,Mean,2373,3.324982396151128,2.764667347138637,-0.1469424568825788,1.8324305808839154e-16
CV-GE-continuous,efold_2__gfold_0,E,1821,2.775261761444019,2.1970859909070675,0.010893766182013986,0.25280741018783814
CV-GE-continuous,efold_2__gfold_0,G,1821,2.7869080012021064,2.266080691345217,0.002574883461258004,0.22243299646197986
CV-GE-continuous,efold_2__gfold_0,G+E,1821,2.9361991200474837,2.3760817770626486,-0.10714892742190818,0.2131554416238912
CV-GE-continuous,efold_2__gfold_0,G+E+GxE,1821,3.0195692536911736,2.398493270022339,-0.170914069574843,0.2011367111100109
CV-GE-continuous,efold_2__gfold_0,Mean,1821,2.827153804434447,2.212376906594412,-0.026440801306808037,2.4609933686487415e-16
CV-GE-continuous,efold_2__gfold_1,E,1902,2.817155295786432,2.225540362849776,-0.05801355764281846,0.2072277606494493
CV-GE-continuous,efold_2__gfold_1,G,1902,2.751717126426297,2.2225783780781474,-0.009432376811504106,0.2298841616693183
CV-GE-continuous,efold_2__gfold_1,G+E,1902,2.9484099783301665,2.3690178182260873,-0.15889850131077998,0.19835468129287206
CV-GE-continuous,efold_2__gfold_1,G+E+GxE,1902,2.995832201832791,2.359489391246831,-0.19647774754577596,0.21143390123185027
CV-GE-continuous,efold_2__gfold_1,Mean,1902,2.8062672521384,2.2103157343284767,-0.04985111339856485,
CV-GE-continuous,efold_2__gfold_2,E,1742,2.8030704698645215,2.206371919244506,0.022692527894774828,0.2683194398226188
CV-GE-continuous,efold_2__gfold_2,G,1742,2.7911541299574765,2.2446447736414625,0.030984273481503344,0.2514223769654075
CV-GE-continuous,efold_2__gfold_2,G+E,1742,2.9315450756378323,2.3437914148180106,-0.06894741044084096,0.24017090850892617
CV-GE-continuous,efold_2__gfold_2,G+E+GxE,1742,2.995294176140054,2.3813981893625553,-0.11594335649291687,0.2325329156250314
CV-GE-continuous,efold_2__gfold_2,Mean,1742,2.8841160142688054,2.2482386205579976,-0.03463850943999147,8.055855611564885e-16
CV-GE-continuous,efold_2__gfold_3,E,1827,2.7964686615937335,2.2228272659581,0.026777238557501137,0.266031971560493
CV-GE-continuous,efold_2__gfold_3,G,1827,2.8344154993298973,2.302694398285763,0.00018563501370860713,0.21932560582986727
CV-GE-continuous,efold_2__gfold_3,G+E,1827,2.9397150818998465,2.3805992806887986,-0.07548120451741624,0.23342859044437117
CV-GE-continuous,efold_2__gfold_3,G+E+GxE,1827,3.0059499269556973,2.378041153072722,-0.1244905954270521,0.2213335902492846
CV-GE-continuous,efold_2__gfold_3,Mean,1827,2.8711984376535185,2.27006983941644,-0.02593243881633356,-1.4268593573671052e-16
