regime,scenario,environment,model,n_train,n_test,inner_rmse,selected_params
CV-G,gfold_4,ME1,Random Forest,480,119,0.8910283999741994,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_4,ME2,Random Forest,480,119,0.9202716959001477,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_4,ME3,Random Forest,480,119,0.9392325145221114,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"
CV-G,gfold_4,ME4,Random Forest,480,119,0.8918435820641618,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"
CV-G,gfold_4,ME1,XGBoost,480,119,0.8837377255191831,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_4,ME2,XGBoost,480,119,0.8635048042619662,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_4,ME3,XGBoost,480,119,0.9355153044543664,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_4,ME4,XGBoost,480,119,0.8806057716319354,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_4,ME1,LightGBM,480,119,0.8971960093740953,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_4,ME2,LightGBM,480,119,0.8944552094047421,"{""min_child_samples"": 20, ""num_leaves"": 31}"
CV-G,gfold_4,ME3,LightGBM,480,119,0.9352949165741014,"{""min_child_samples"": 20, ""num_leaves"": 31}"
CV-G,gfold_4,ME4,LightGBM,480,119,0.8941319902159086,"{""min_child_samples"": 20, ""num_leaves"": 31}"
CV2,sparse_cell,ME1,PCA+Kernel,449,150,0.8712878581852355,"{""alpha"": 1.0, ""n_components"": 20}"
CV2,sparse_cell,ME2,PCA+Kernel,449,150,0.9307792817394906,"{""alpha"": 1.0, ""n_components"": 20}"
CV2,sparse_cell,ME3,PCA+Kernel,449,150,0.9246399443772415,"{""alpha"": 1.0, ""n_components"": 20}"
CV2,sparse_cell,ME4,PCA+Kernel,450,149,0.9372699225174026,"{""alpha"": 1.0, ""n_components"": 50}"
CV2,sparse_cell,ME1,Random Forest,449,150,0.8687951749671718,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV2,sparse_cell,ME2,Random Forest,449,150,0.9232470272475672,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV2,sparse_cell,ME3,Random Forest,449,150,0.9054602025945149,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV2,sparse_cell,ME4,Random Forest,450,149,0.9523184952361518,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV2,sparse_cell,ME1,XGBoost,449,150,0.9059940780463318,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV2,sparse_cell,ME2,XGBoost,449,150,0.9507727192261077,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV2,sparse_cell,ME3,XGBoost,449,150,0.9251326251508588,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV2,sparse_cell,ME4,XGBoost,450,149,0.9219484557699403,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV2,sparse_cell,ME1,LightGBM,449,150,0.9450322133576542,"{""min_child_samples"": 20, ""num_leaves"": 31}"
CV2,sparse_cell,ME2,LightGBM,449,150,0.9388255939421783,"{""min_child_samples"": 20, ""num_leaves"": 31}"
CV2,sparse_cell,ME3,LightGBM,449,150,0.9280816822154827,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV2,sparse_cell,ME4,LightGBM,450,149,0.9835147372005043,"{""min_child_samples"": 15, ""num_leaves"": 15}"
