regime,scenario,model,n_train,n_test,alpha,gamma_gxe,inner_grouped_rmse,cg_iterations,rmse,mae,r2,rho
CV-GE,env_ME2__gfold_0,G+E,1437,120,10.0,0.0,0.9780543546210048,19,0.8795886524810717,0.6939266992948523,0.09790243039927349,0.3304705021575567
CV-GE,env_ME2__gfold_0,G+E+GxE,1437,120,10.0,4.0,0.9245884074080778,32,0.8960443862322434,0.7044438601427375,0.06383300993129959,0.33305145361590544
CV-GE,env_ME2__gfold_1,Environment mean,1437,120,,0.0,,0,0.9779552144474103,0.7552602804363052,-0.00016782598370879143,7.158978521489708e-17
CV-GE,env_ME2__gfold_1,G,1437,120,10.0,0.0,0.9565639236879104,20,0.9238521188428845,0.715588557519571,0.1074349755817735,0.34802894674500806
CV-GE,env_ME2__gfold_1,G+E,1437,120,10.0,0.0,0.9568027024932341,20,0.9238521188441036,0.7155885575170139,0.10743497557941806,0.34802894673649726
CV-GE,env_ME2__gfold_1,G+E+GxE,1437,120,10.0,4.0,0.8970031985392883,32,0.9424467328543696,0.7302148977828656,0.07114361061296115,0.35167939586006114
CV-GE,env_ME2__gfold_2,Environment mean,1437,120,,0.0,,0,0.9996819089711539,0.775371119260168,-2.0837178458688044e-05,-1.4252544197653537e-16
CV-GE,env_ME2__gfold_2,G,1437,120,10.0,0.0,0.9795649301301178,19,0.9650897472441704,0.7499411876921787,0.06798953802235264,0.263004755464857
CV-GE,env_ME2__gfold_2,G+E,1437,120,10.0,0.0,0.9795233187883876,19,0.9650897472517643,0.7499411877013249,0.06798953800768515,0.2630047554606207
CV-GE,env_ME2__gfold_2,G+E+GxE,1437,120,10.0,4.0,0.9251077785276968,32,0.9758001276985107,0.7551349676060252,0.047188204554961866,0.26014567127067584
CV-GE,env_ME2__gfold_3,Environment mean,1437,120,,0.0,,0,0.9704282083112146,0.746032310303122,-0.0053144175284318695,-6.117817270437451e-17
CV-GE,env_ME2__gfold_3,G,1437,120,10.0,0.0,0.9789887088267831,20,0.9509799115109434,0.7307312195714862,0.034576707269054374,0.1910860774036655
CV-GE,env_ME2__gfold_3,G+E,1437,120,10.0,0.0,0.980593610046598,20,0.9509799115054892,0.730731219572778,0.034576707280128516,0.1910860774274895
CV-GE,env_ME2__gfold_3,G+E+GxE,1437,120,10.0,4.0,0.9225145297064409,32,0.9549203276641618,0.7341573544849064,0.02655960650540856,0.1895202238005229
CV-GE,env_ME2__gfold_4,Environment mean,1440,119,,0.0,,0,1.1087073600284403,0.869878279005516,-5.70324225619423e-05,2.0196213990850366e-17
CV-GE,env_ME2__gfold_4,G,1440,119,1.0,0.0,0.9651540570044694,58,1.034570497581983,0.8185418875068287,0.12921470522820178,0.3609022449417024
CV-GE,env_ME2__gfold_4,G+E,1440,119,1.0,0.0,0.9653279830330965,57,1.0345704950084869,0.8185418852995909,0.12921470956036163,0.3609022505104122
CV-GE,env_ME2__gfold_4,G+E+GxE,1440,119,1.0,1.0,0.9024951769890331,67,1.0397521423545049,0.8214888304625836,0.12047020786546914,0.35934693785277055
CV-GE,env_ME3__gfold_0,Environment mean,1437,120,,0.0,,0,1.0061810946071217,0.7704672910965521,-0.00020698275653407983,
CV-GE,env_ME3__gfold_0,G,1437,120,10.0,0.0,0.9831632657871467,20,0.9640283011863586,0.7221587268334676,0.08184258966320157,0.292379981048851
CV-GE,env_ME3__gfold_0,G+E,1437,120,10.0,0.0,0.9832466796393522,20,0.9640283011851952,0.7221587268348839,0.08184258966541758,0.29237998105392826
