regime,environment,environment_fold,model,n,selected_config,rmse,mae,r2,correlation,novelty_nearest_z,novelty_mean5_z,max_training_kernel_similarity
CV-GE-continuous-B6R,2019-INH1,1,Selected-G+E,440,environment_narrower,3.8609631498462487,3.5531576051133165,-5.166468645203344,0.10931539525796757,9.675313247295986,11.393774010430022,0.5968305207810208
CV-GE-continuous-B6R,2019-INH1,1,Selected-G+E+GxE,440,environment_narrower,2.762862122281529,2.296550888839236,-2.1576474475737877,0.05788942659764068,9.675313247295986,11.393774010430022,0.5968305207810208
CV-GE-continuous-B6R,2019-MIH1,3,B6-fixed-G+E,454,baseline,1.8114636452352995,1.4283089159545046,-0.049788614061729186,0.06478134107003077,,,
CV-GE-continuous-B6R,2019-MIH1,3,Selected-G,454,environment_narrower,1.858831548132852,1.5106735233019186,-0.10540820185563127,0.07687160018308713,10.255842733354848,10.815288668423262,0.5592619557487024
CV-GE-continuous-B6R,2019-MIH1,3,Selected-G+E,454,environment_narrower,1.784082752574544,1.418086099013543,-0.01829263498647893,0.06824173332642769,10.255842733354848,10.815288668423262,0.5592619557487024
CV-GE-continuous-B6R,2019-MIH1,3,Selected-G+E+GxE,454,environment_narrower,2.4122408118438785,1.9317540816898147,-0.8615895607487292,0.08855612972197496,10.255842733354848,10.815288668423262,0.5592619557487024
CV-GE-continuous-B6R,2019-MNH1,4,B6-fixed-G+E,1001,baseline,2.776712744633862,2.37812535553575,-1.3052109611893408,0.017680087846804485,,,
CV-GE-continuous-B6R,2019-MNH1,4,Selected-G,1001,environment_rank_32,2.178110786598449,1.7826341449572933,-0.418432587355702,0.13184245011671283,13.457898424680161,14.048631734743912,0.6041072321590059
CV-GE-continuous-B6R,2019-MNH1,4,Selected-G+E,1001,environment_rank_32,3.4136734564806104,3.0239814798420497,-2.4841169085200887,-0.0668259360551051,13.457898424680161,14.048631734743912,0.6041072321590059
CV-GE-continuous-B6R,2019-MNH1,4,Selected-G+E+GxE,1001,environment_rank_32,2.454428634504175,2.0590346040304652,-0.8011487735129958,0.21385996868668247,13.457898424680161,14.048631734743912,0.6041072321590059
CV-GE-continuous-B6R,2019-MOH1,2,B6-fixed-G+E,515,baseline,3.796539366033666,3.3827577676230223,-3.365600629552217,-0.10303275929869776,,,
CV-GE-continuous-B6R,2019-MOH1,2,Selected-G,515,environment_rank_32,2.9951401295756024,2.585280101504567,-1.717080342809258,-0.11125665901171279,16.85011648408441,17.84805455607546,0.4583741866789936
CV-GE-continuous-B6R,2019-MOH1,2,Selected-G+E,515,environment_rank_32,3.4066403797035547,2.992311211291748,-2.514963085769307,-0.06849139654617868,16.85011648408441,17.84805455607546,0.4583741866789936
CV-GE-continuous-B6R,2019-MOH1,2,Selected-G+E+GxE,515,environment_rank_32,3.42591066357385,2.994812316307743,-2.5548416198742734,-0.17338460206087455,16.85011648408441,17.84805455607546,0.4583741866789936
CV-GE-continuous-B6R,2019-NEH1,3,B6-fixed-G+E,308,baseline,2.3345811891351436,1.8578621328679201,-0.14644279370316826,0.11684083851179763,,,
CV-GE-continuous-B6R,2019-NEH1,3,Selected-G,308,environment_narrower,2.9236338027409894,2.4630785065147367,-0.7979614426036403,0.10037609330710914,3.8588308323945077,11.532140673362154,0.9210221969216741
