environment,test_year,model,n,rmse,mae,r2,correlation
2016-NYH1,2016,T2-Mean12,224,1.2292487980905085,0.9701906399773866,-0.15460051206389314,0.1225622283407188
2016-NYH1,2016,T2-Median12,224,1.4493694491245155,1.1356036979296278,-0.6051305717697046,0.10379051085288213
2016-NYH2,2016,Frozen-T1,230,3.2648383942242316,2.75716998657726,-2.2644777059187056,0.016711722618505644
2016-NYH2,2016,Frozen-T2,230,2.3339349602033086,1.7898123506286476,-0.6682757143722815,0.0353575635121015
2016-NYH2,2016,T2-Mean12,230,2.566113798890365,2.0135319400300133,-1.0167039687466857,0.027973630149822747
2016-NYH2,2016,T2-Median12,230,2.882428307377669,2.3527021265232917,-1.544528721149347,0.032463236896414
2016-NYH2L,2016,Frozen-T1,96,6.8692089707835535,6.832402780820601,-142.10384360849906,0.09585922916041514
2016-NYH2L,2016,Frozen-T2,96,5.6081404596086255,5.564713200101926,-94.38401655666148,0.13116183460053096
2016-NYH2L,2016,T2-Mean12,96,5.973533991797145,5.9308831606504056,-107.21825343293389,0.09069424803912889
2016-NYH2L,2016,T2-Median12,96,6.404007176669567,6.3640390412704875,-123.3773964504647,0.08733982554846077
2016-TXH1,2016,Frozen-T1,218,2.663033306963742,2.429914788174756,-4.46222851387222,0.2837003882987443
2016-TXH1,2016,Frozen-T2,218,2.3388976612987715,2.080433281963174,-3.2134622546756173,0.26563397578717524
2016-TXH1,2016,T2-Mean12,218,2.23586927722971,1.9740992433587503,-2.8504322421910655,0.2784252995394219
2016-TXH1,2016,T2-Median12,218,2.224442869919851,1.9594651075102294,-2.8111775458089836,0.2594072063072688
2016-TXH2,2016,Frozen-T1,234,2.0945997231242375,1.6532890207672748,-0.25497752830303577,0.3176078357445477
2016-TXH2,2016,Frozen-T2,234,1.9134476643812113,1.501766539368821,-0.04729020581289256,0.30937585931937955
2016-TXH2,2016,T2-Mean12,234,1.7841800745267087,1.403082074610637,0.08943440743880993,0.3039926008787112
2016-TXH2,2016,T2-Median12,234,1.796705566039031,1.4131706578710137,0.0766046308344811,0.2845631782440155
2016-WIH1,2016,Frozen-T1,308,1.8335809577907871,1.4117086685481222,0.08024545425744667,0.3762580691939065
2016-WIH1,2016,Frozen-T2,308,6.399131647230899,6.138712584128858,-10.202471625104508,0.3486919807796158
2016-WIH1,2016,T2-Mean12,308,2.4177710007787305,1.9034175076507913,-0.5991974601606258,0.38342392859272084
2016-WIH1,2016,T2-Median12,308,1.9648887978640488,1.4865687735776576,-0.05620377697884571,0.403127200237028
2016-WIH2,2016,Frozen-T1,418,3.874494864729653,3.2519520002893425,-1.56693939080127,0.3519512763816246
2016-WIH2,2016,Frozen-T2,418,10.973858171655507,10.726660680909474,-19.592265128872587,0.32750714502852735
