covariate,nonmissing,missing_fraction,n_unique,is_nonconstant_numeric
ESW_FloFla,136,0.0,136,True
ESW_FlaFlw,136,0.0,136,True
ESW_FlwStG,136,0.0,136,True
ESW_StGEnG,136,0.0,136,True
ESW_EnGMat,136,0.0,136,True
ESW_MatHar,136,0.0,136,True
Flow_GerEme,136,0.0,129,True
Flow_EmeEnJ,136,0.0,135,True
Flow_EnJFlo,136,0.0,129,True
Flow_FloFla,136,0.0,136,True
Flow_FlaFlw,136,0.0,136,True
Flow_FlwStG,136,0.0,136,True
Flow_StGEnG,136,0.0,136,True
Flow_EnGMat,136,0.0,136,True
Flow_MatHar,136,0.0,136,True
FlowNO3_GerEme,136,0.0,131,True
FlowNO3_EmeEnJ,136,0.0,136,True
FlowNO3_EnJFlo,136,0.0,135,True
FlowNO3_FloFla,136,0.0,136,True
FlowNO3_FlaFlw,136,0.0,136,True
FlowNO3_FlwStG,136,0.0,136,True
FlowNO3_StGEnG,136,0.0,136,True
FlowNO3_EnGMat,136,0.0,136,True
FlowNO3_MatHar,136,0.0,136,True
Flux_GerEme,136,0.0,114,True
Flux_EmeEnJ,136,0.0,130,True
Flux_EnJFlo,136,0.0,117,True
Flux_FloFla,136,0.0,132,True
Flux_FlaFlw,136,0.0,103,True
Flux_FlwStG,136,0.0,109,True
Flux_StGEnG,136,0.0,125,True
Flux_EnGMat,136,0.0,61,True
Flux_MatHar,136,0.0,62,True
Infiltration_GerEme,136,0.0,123,True
Infiltration_EmeEnJ,136,0.0,132,True
Infiltration_EnJFlo,136,0.0,86,True
Infiltration_FloFla,136,0.0,135,True
Infiltration_FlaFlw,136,0.0,132,True
Infiltration_FlwStG,136,0.0,130,True
Infiltration_StGEnG,136,0.0,136,True
Infiltration_EnGMat,136,0.0,107,True
Infiltration_MatHar,136,0.0,106,True
PotInf_GerEme,136,0.0,121,True
PotInf_EmeEnJ,136,0.0,130,True
PotInf_EnJFlo,136,0.0,86,True
PotInf_FloFla,136,0.0,130,True
PotInf_FlaFlw,136,0.0,129,True
PotInf_FlwStG,136,0.0,129,True
PotInf_StGEnG,136,0.0,132,True
PotInf_EnGMat,136,0.0,107,True
PotInf_MatHar,136,0.0,106,True
PotRunoff_GerEme,136,0.0,121,True
PotRunoff_EmeEnJ,136,0.0,130,True
PotRunoff_EnJFlo,136,0.0,86,True
PotRunoff_FloFla,136,0.0,130,True
PotRunoff_FlaFlw,136,0.0,129,True
PotRunoff_FlwStG,136,0.0,129,True
PotRunoff_StGEnG,136,0.0,132,True
PotRunoff_EnGMat,136,0.0,107,True
PotRunoff_MatHar,136,0.0,106,True
Runoff_GerEme,136,0.0,60,True
Runoff_EmeEnJ,136,0.0,89,True
Runoff_EnJFlo,136,0.0,13,True
Runoff_FloFla,136,0.0,110,True
Runoff_FlaFlw,136,0.0,40,True
Runoff_FlwStG,136,0.0,51,True
Runoff_StGEnG,136,0.0,94,True
Runoff_EnGMat,136,0.0,13,True
Runoff_MatHar,136,0.0,14,True
SW_GerEme,136,0.0,129,True
SW_EmeEnJ,136,0.0,136,True
SW_EnJFlo,136,0.0,136,True
SW_FloFla,136,0.0,136,True
SW_FlaFlw,136,0.0,136,True
SW_FlwStG,136,0.0,136,True
SW_StGEnG,136,0.0,136,True
SW_EnGMat,136,0.0,136,True
SW_MatHar,136,0.0,136,True
T_GerEme,136,0.0,127,True
T_EmeEnJ,136,0.0,135,True
T_EnJFlo,136,0.0,135,True
T_FloFla,136,0.0,136,True
T_FlaFlw,136,0.0,135,True
T_FlwStG,136,0.0,132,True
T_StGEnG,136,0.0,136,True
T_EnGMat,136,0.0,106,True
T_MatHar,136,0.0,104,True
WaterTable_GerEme,136,0.0,17,True
WaterTable_EmeEnJ,136,0.0,21,True
WaterTable_EnJFlo,136,0.0,18,True
WaterTable_FloFla,136,0.0,50,True
WaterTable_FlaFlw,136,0.0,34,True
WaterTable_FlwStG,136,0.0,31,True
WaterTable_StGEnG,136,0.0,23,True
WaterTable_EnGMat,136,0.0,15,True
CoverGreen_GerEme,136,0.0,134,True
CoverGreen_EmeEnJ,136,0.0,136,True
CoverGreen_EnJFlo,136,0.0,135,True
CoverGreen_FloFla,136,0.0,136,True
CoverGreen_FlaFlw,136,0.0,136,True
CoverGreen_FlwStG,136,0.0,136,True
CoverGreen_StGEnG,136,0.0,136,True
CoverGreen_EnGMat,136,0.0,132,True
CoverGreen_MatHar,136,0.0,132,True
CoverTotal_GerEme,136,0.0,134,True
CoverTotal_EmeEnJ,136,0.0,136,True
CoverTotal_EnJFlo,136,0.0,135,True
CoverTotal_FloFla,136,0.0,136,True
CoverTotal_FlaFlw,136,0.0,136,True
CoverTotal_FlwStG,136,0.0,136,True
CoverTotal_StGEnG,136,0.0,136,True
CoverTotal_EnGMat,136,0.0,136,True
CoverTotal_MatHar,136,0.0,136,True
LAI_GerEme,136,0.0,133,True
LAI_EmeEnJ,136,0.0,136,True
LAI_EnJFlo,136,0.0,135,True
LAI_FloFla,136,0.0,136,True
LAI_FlaFlw,136,0.0,136,True
LAI_FlwStG,136,0.0,136,True
LAI_StGEnG,136,0.0,136,True
LAI_EnGMat,136,0.0,132,True
LAI_MatHar,136,0.0,132,True
CumTT_GerEme,136,0.0,122,True
CumTT_EmeEnJ,136,0.0,130,True
CumTT_EnJFlo,136,0.0,131,True
CumTT_FloFla,136,0.0,132,True
CumTT_FlaFlw,136,0.0,132,True
CumTT_FlwStG,136,0.0,132,True
CumTT_StGEnG,136,0.0,132,True
CumTT_EnGMat,136,0.0,132,True
CumTT_MatHar,136,0.0,132,True
