environment_a,environment_b,n_common_genotypes,n_common_unordered_genotype_pairs,mean_prediction_offset_a_minus_b,environment_offset_sd_across_common_genotypes,max_abs_pairwise_contrast_deviation,max_abs_centered_prediction_deviation,local_max_float32_ulp,max_pairwise_deviation_in_local_float32_ulp,float32_four_term_ulp_budget,float32_implementation_bound,invariant_within_csv_only_precision,consistent_with_float32_implementation,uses_target_outcomes
IAH2_2024,OHH1_2024,15,105,-0.006472206110666671,4.835992369301625e-07,9.53699998973434e-07,5.722106664052262e-07,9.5367431640625e-07,1.0000269301235676,4.0,3.824697265625e-06,False,True,False
IAH2_2024,TXH1_2024,15,105,1.0078317006426667,3.355651878214836e-07,9.537100016387967e-07,8.265173345733956e-07,9.5367431640625e-07,1.000037418678403,4.0,3.824697265625e-06,False,True,False
IAH2_2024,WIH1_2024,36,630,-1.8709972699483335,3.6045111268930285e-07,9.537600025311121e-07,7.947683346998247e-07,9.5367431640625e-07,1.0000898484140635,4.0,3.824697265625e-06,False,True,False
IAH2_2024,WIH2_2024,40,780,0.005154776571000008,3.6697809163338596e-07,9.53800000758065e-07,7.868290019530377e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
IAH2_2024,WIH3_2024,42,861,-0.04382074446595231,4.6873195055546935e-07,9.53799998981708e-07,5.904340465434643e-07,9.5367431640625e-07,1.0001317877322435,4.0,3.824697265625e-06,False,True,False
IAH4_2024,ILH1_2024,32,496,0.030144691462187623,2.422273452365936e-07,1.9073000014913077e-06,9.536621874417506e-07,9.5367431640625e-07,1.9999490063637495,4.0,3.824697265625e-06,False,True,False
IAH4_2024,INH1_2024,44,946,-1.4382622242049998,5.090156109497395e-07,1.907399999723225e-06,1.1921049978269593e-06,9.5367431640625e-07,2.0000538621097803,4.0,3.824697265625e-06,False,True,False
IAH4_2024,MIH1_2024,40,780,-0.23643047810524997,4.5236364519118507e-07,9.53800000758065e-07,6.437947508430852e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
IAH4_2024,MOH1_2024,32,496,1.6453550159896877,3.620882073047154e-07,9.537699980910475e-07,7.450996850622005e-07,9.5367431640625e-07,1.0001003295183182,4.0,3.824697265625e-06,False,True,False
IAH4_2024,NCH1_2024,47,1081,0.2581350042378724,3.622850561996039e-07,9.537300016404515e-07,7.913621296040674e-07,9.5367431640625e-07,1.000058390200138,4.0,3.824697265625e-06,False,True,False
IAH4_2024,NEH1_2024,15,105,0.3508825302106665,3.604552691341154e-07,1.9073500006072663e-06,9.536793310616076e-07,9.5367431640625e-07,2.000001434236765,4.0,3.824697265625e-06,False,True,False
IAH4_2024,NEH2_2024,15,105,0.3802733739219998,4.924794333549436e-07,9.537499998657495e-07,5.0867200052096e-07,9.5367431640625e-07,1.0000793598592281,4.0,3.824697265625e-06,False,True,False
IAH4_2024,NYH2_2024,44,946,0.06901088627704546,3.528404210519211e-07,9.537400007531005e-07,8.01962952934332e-07,9.5367431640625e-07,1.0000688750296831,4.0,3.824697265625e-06,False,True,False
IAH4_2024,NYH3_2024,37,666,0.06901083765027033,3.002115921315029e-07,9.537400007531005e-07,8.505897284294406e-07,9.5367431640625e-07,1.0000688750296831,4.0,3.824697265625e-06,False,True,False
IAH4_2024,OHH1_2024,15,105,0.02302214305133319,4.924803550818034e-07,9.537099998624399e-07,5.086486662975176e-07,9.5367431640625e-07,1.0000374168157578,4.0,3.824697265625e-06,False,True,False
IAH4_2024,TXH1_2024,15,105,1.0373260498046666,3.9485999868579834e-07,9.537200007514457e-07,7.629453335766812e-07,9.5367431640625e-07,1.000047903507948,4.0,3.824697265625e-06,False,True,False
IAH4_2024,WIH1_2024,39,741,-1.8415028254294872,4.554315233350898e-07,9.538100016470707e-07,6.358394877281626e-07,9.5367431640625e-07,1.0001422762870789,4.0,3.824697265625e-06,False,True,False
IAH4_2024,WIH2_2024,44,946,0.034649198695454526,4.493197642035156e-07,9.53799998981708e-07,6.503045462125101e-07,9.5367431640625e-07,1.0001317877322435,4.0,3.824697265625e-06,False,True,False
IAH4_2024,WIH3_2024,45,990,-0.014326265127333294,3.687214190131874e-07,9.53799998981708e-07,7.84172666357108e-07,9.5367431640625e-07,1.0001317877322435,4.0,3.824697265625e-06,False,True,False
ILH1_2024,INH1_2024,33,528,-1.4684069373430304,4.313244803299603e-07,9.53800000758065e-07,6.936569700854989e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
ILH1_2024,MIH1_2024,42,861,-0.2665751775161905,4.550175628385626e-07,9.537400007531005e-07,6.358238078263412e-07,9.5367431640625e-07,1.0000688750296831,4.0,3.824697265625e-06,False,True,False
ILH1_2024,MOH1_2024,41,820,1.615210323802439,3.7010229622607476e-07,1.4305100011213767e-06,7.443324392397699e-07,9.5367431640625e-07,1.4999984549358487,4.0,3.824697265625e-06,False,True,False
ILH1_2024,NCH1_2024,43,903,0.22799023916418598,2.802891080005642e-07,9.53800000758065e-07,8.650358100936728e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
ILH1_2024,NEH1_2024,15,105,0.32073790231999993,2.4623044934068125e-07,9.53689999860785e-07,8.900699999259132e-07,9.5367431640625e-07,1.0000164452940226,4.0,3.824697265625e-06,False,True,False
ILH1_2024,NEH2_2024,15,105,0.3501287460313332,4.835955742591298e-07,9.536700016354871e-07,5.722013316500352e-07,9.5367431640625e-07,0.9999954756349325,4.0,3.824697265625e-06,False,True,False
ILH1_2024,NYH2_2024,39,741,0.03886614090923055,2.931177617264158e-07,9.537099998624399e-07,8.558907662603588e-07,9.5367431640625e-07,1.0000374168157578,4.0,3.824697265625e-06,False,True,False
ILH1_2024,NYH3_2024,36,630,0.03886609607666674,2.2154404043270718e-07,9.536699998591303e-07,9.006833341373977e-07,9.5367431640625e-07,0.9999954737722874,4.0,3.824697265625e-06,False,True,False
ILH1_2024,OHH1_2024,15,105,-0.007122484839333391,4.92469842859109e-07,9.53680000748136e-07,5.086306646973071e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
ILH1_2024,TXH1_2024,15,105,1.007181421914,4.3652791117264506e-07,9.53680000748136e-07,6.993660015552905e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
ILH1_2024,WIH1_2024,35,595,-1.8716475622925717,4.3711182116058873e-07,9.537700016437611e-07,6.812325725746859e-07,9.5367431640625e-07,1.0001003332436085,4.0,3.824697265625e-06,False,True,False
