regime,environment,model,n,rmse,mae,r2,correlation
CV-E-B7,2014-NYH2,Vegetative,218,2.0317581461860814,1.6131325507895184,-0.9309045368911295,0.07822545171027209
CV-E-B7,2014-NYH2,Water-soil,218,2.627207152080287,2.1853142469287388,-2.228534406363416,0.10369962765542262
CV-E-B7,2014-WIH1,All-nonleaky,208,2.3778819070450554,1.9169577453995406,-0.30998438612577406,0.1882973370342387
CV-E-B7,2014-WIH1,B6R-all-EC-reference,208,2.4305649780240173,1.9621236982584187,-0.36867402811538885,0.1947284974340796
CV-E-B7,2014-WIH1,Canopy-growth,208,2.5576859992195597,2.081090766062443,-0.5155839824581665,0.2308513452104097
CV-E-B7,2014-WIH1,Grain-fill-maturity,208,2.5601581309731287,2.093843163040859,-0.5185151741582683,0.31346482517048363
CV-E-B7,2014-WIH1,Process-MK,208,2.218486162218215,1.7931978891844633,-0.14024716927548053,0.3287277702341215
CV-E-B7,2014-WIH1,Reproductive-transition,208,2.4008991732091114,1.940755542747525,-0.3354677308896037,0.2846772240035029
CV-E-B7,2014-WIH1,Stage-MK,208,2.0163461359266215,1.6074522362641253,0.058076289972734285,0.2451321411863856
CV-E-B7,2014-WIH1,Thermal,208,2.3351443765685085,1.8858089506947298,-0.2633190025780179,0.32223103437574546
CV-E-B7,2014-WIH1,Thermal+water-MK,208,1.9906747143574741,1.5945768446884598,0.08190810258213788,0.3528678256103508
CV-E-B7,2014-WIH1,Vegetative,208,2.4484379363898974,1.9735457459022525,-0.3888768984131006,0.1749668633993994
CV-E-B7,2014-WIH1,Water-soil,208,2.2693169192730376,1.8240567743943126,-0.19309728283959826,0.23845127811473632
CV-E-B7,2015-ILH1,All-nonleaky,416,2.096851250766642,1.6967844483988652,-0.3196430088775737,0.17596079932276115
CV-E-B7,2015-ILH1,B6R-all-EC-reference,416,2.09027072531326,1.690655562973811,-0.31137316327739173,0.1767943361114562
CV-E-B7,2015-ILH1,Canopy-growth,416,2.0523410521981895,1.653235289306381,-0.2642130813631207,0.2059933535755996
CV-E-B7,2015-ILH1,Grain-fill-maturity,416,1.9963326519594702,1.6007721129822234,-0.19615383112804174,0.20018824750206643
CV-E-B7,2015-ILH1,Process-MK,416,2.3086934771229557,1.898271497617174,-0.5997560716598,0.1644861753849882
CV-E-B7,2015-ILH1,Reproductive-transition,416,1.9314010864489906,1.5421793389521001,-0.11960842555758666,0.17741770104445553
CV-E-B7,2015-ILH1,Stage-MK,416,2.7268533534230492,2.3043354728108816,-1.2317460814484575,0.17245311986787373
CV-E-B7,2015-ILH1,Thermal,416,1.9252589141828815,1.5339232535430567,-0.11249867176456041,0.18637977430156175
CV-E-B7,2015-ILH1,Thermal+water-MK,416,2.373227601793972,1.956191057129898,-0.6904409193221648,0.1435367099514867
CV-E-B7,2015-ILH1,Vegetative,416,2.36204919133027,1.936716673614905,-0.6745537458371502,0.17509608785825556
CV-E-B7,2015-ILH1,Water-soil,416,2.214361397983588,1.8138117381818388,-0.4716963720456211,0.21967207218866985
CV-E-B7,2015-INH1,All-nonleaky,423,1.8881244311776602,1.4532102000039704,-0.11055931748674297,0.18532329040026743
CV-E-B7,2015-INH1,B6R-all-EC-reference,423,1.8809247606814257,1.4467468529513472,-0.1021060431590497,0.18410277484352175
CV-E-B7,2015-INH1,Canopy-growth,423,1.8366700774742342,1.4097937858326035,-0.05085510386216363,0.14602424126945687
CV-E-B7,2015-INH1,Grain-fill-maturity,423,1.8116129693564886,1.3898189665444134,-0.022377725297719975,0.16305993316077158
