gamma,inner_grouped_rmse,rmse_minus_selected,regime,scenario
64.0,0.9092941320094186,0.0018289719250133007,CV-G,gfold_3
96.0,0.9078498402780876,0.00038468019368231854,CV-G,gfold_3
128.0,0.9093289414543207,0.001863781369915496,CV-G,gfold_3
0.25,0.9023192256911913,0.020406728940152274,CV-G,gfold_4
0.5,0.892904628729837,0.010992131978798003,CV-G,gfold_4
1.0,0.8897796482099567,0.007867151458917698,CV-G,gfold_4
2.0,0.895524974275558,0.013612477524518996,CV-G,gfold_4
3.0,0.8948343492523884,0.012921852501349362,CV-G,gfold_4
4.0,0.8898957315176806,0.007983234766641645,CV-G,gfold_4
6.0,0.8845539442001574,0.002641447449118428,CV-G,gfold_4
8.0,0.8823101781052131,0.00039768135417406203,CV-G,gfold_4
12.0,0.881912496751039,0.0,CV-G,gfold_4
16.0,0.8839061478468829,0.001993651095843929,CV-G,gfold_4
24.0,0.8902553254347838,0.008342828683744807,CV-G,gfold_4
32.0,0.8973292667162468,0.0154167699652078,CV-G,gfold_4
48.0,0.8901944916814786,0.008281994930439573,CV-G,gfold_4
64.0,0.8856370440185057,0.003724547267466738,CV-G,gfold_4
96.0,0.8820680703340826,0.00015557358304363333,CV-G,gfold_4
128.0,0.8819220877419296,9.590990890595563e-06,CV-G,gfold_4
0.25,0.951482158077977,0.02794246995581795,CV2,sparse_cell
0.5,0.9429784279995775,0.01943873987741851,CV2,sparse_cell
1.0,0.9388381421712734,0.01529845404911434,CV2,sparse_cell
2.0,0.9388434780741263,0.01530378995196724,CV2,sparse_cell
3.0,0.9330819149346768,0.009542226812517818,CV2,sparse_cell
4.0,0.929472586652312,0.005932898530152997,CV2,sparse_cell
6.0,0.925579823452527,0.0020401353303679537,CV2,sparse_cell
8.0,0.9240054309138114,0.000465742791652346,CV2,sparse_cell
12.0,0.9239726505001759,0.00043296237801682125,CV2,sparse_cell
16.0,0.9257769048084703,0.002237216686311272,CV2,sparse_cell
24.0,0.9311955152674772,0.007655827145318206,CV2,sparse_cell
32.0,0.9360095818796665,0.01246989375750751,CV2,sparse_cell
48.0,0.929472880768133,0.005933192645973917,CV2,sparse_cell
64.0,0.9260613583072688,0.0025216701851097367,CV2,sparse_cell
96.0,0.923539688122159,0.0,CV2,sparse_cell
128.0,0.9236670229897247,0.00012733486756566492,CV2,sparse_cell
