phenotype_name,model,rmse,mae,r2,predictive_correlation,n,fold
shoots 15d protocol b,Mean baseline,0.6734875444648047,0.44029258647671116,-0.0182029599438005,-1.1089362493645944e-17,15,4
shoots 15d protocol b,Elastic Net,2.1439145215999256,1.437200554436253,-3.320206435894092,0.019031463663633105,31,0
shoots 15d protocol b,Elastic Net,1.1272107009252632,0.5907459586490821,-0.4598108980442348,-0.3554793855013432,27,1
shoots 15d protocol b,Elastic Net,1.230249068401526,0.9830860886601062,-1.1123131634914483,-0.12630751165898205,24,2
shoots 15d protocol b,Elastic Net,1.123571165360731,0.8472446996033556,-0.6119409160721279,0.15773499499296365,55,3
shoots 15d protocol b,Elastic Net,0.6801323250772005,0.4618275765818779,-0.03839371619982934,0.3018268335773909,15,4
shoots 15d protocol b,Kernel Ridge,1.0941529295412593,0.3657977577175415,-0.12524119342546491,0.033045045656775004,31,0
shoots 15d protocol b,Kernel Ridge,0.9854010809516729,0.31806067362887064,-0.11561016875131869,0.14394196746518254,27,1
shoots 15d protocol b,Kernel Ridge,0.9161697212640653,0.35128580606973686,-0.17145088532597774,-0.3095539696463953,24,2
shoots 15d protocol b,Kernel Ridge,0.9627280176072106,0.3797021535718525,-0.18346432459503625,-0.05431831524719326,55,3
shoots 15d protocol b,Kernel Ridge,0.7195970998043846,0.2692391751671797,-0.16239578738660887,0.3944449669183244,15,4
shoots 15d protocol b,Random Forest,1.0846484102085652,0.759732180680989,-0.10577695751345817,-0.057891708919359006,31,0
shoots 15d protocol b,Random Forest,0.9602028235470043,0.5566470585659742,-0.059283854650386436,-0.2469468138186687,27,1
shoots 15d protocol b,Random Forest,0.9000605766999691,0.7078714339413361,-0.13061747894353704,0.044488509421014365,24,2
shoots 15d protocol b,Random Forest,0.8900367325915337,0.6330337383847315,-0.011495162791838709,0.10432123687746014,55,3
shoots 15d protocol b,Random Forest,0.7046822723886386,0.5215687359671594,-0.11471003541807989,0.059609240353065994,15,4
shoots 21d protocol a,Mean baseline,0.9125859656064569,0.7951239852101921,-0.06145080813867976,-5.762714697818602e-18,29,0
shoots 21d protocol a,Mean baseline,0.9356788556716783,0.7821929153924567,-0.07469615920241535,,24,1
shoots 21d protocol a,Mean baseline,1.0899385612677062,0.7887080986859747,-0.0116741232889912,-5.122695447141305e-18,20,2
shoots 21d protocol a,Mean baseline,2.5774536536365953,1.0179384957446183,-0.00129405458581755,,49,3
shoots 21d protocol a,Mean baseline,3.029740038978306,1.6682981077541437,-0.09382003828977004,,11,4
shoots 21d protocol a,Elastic Net,3.890908067673542,2.551287846007193,-18.295420173154014,-0.1356219171777815,29,0
shoots 21d protocol a,Elastic Net,1.7705820650901753,1.3870239847085692,-2.8482580575632137,0.14121240273293428,24,1
shoots 21d protocol a,Elastic Net,1.9925399209389134,1.619010924001535,-2.3810428010431903,-0.4871299920050717,20,2
shoots 21d protocol a,Elastic Net,2.7342639307895276,1.3345330499098784,-0.1268361596468155,0.1043736073121837,49,3
shoots 21d protocol a,Elastic Net,2.8066980110161444,2.243968645731608,0.061300651713617094,0.3258221799881343,11,4
shoots 21d protocol a,Kernel Ridge,0.9880187276159824,0.4388987859051961,-0.2441783904672452,0.014545555263985831,29,0
shoots 21d protocol a,Kernel Ridge,0.9902132375745458,0.4083129882643184,-0.2036203491037556,0.003745383993226843,24,1
shoots 21d protocol a,Kernel Ridge,1.1977276381924693,0.5112858011797601,-0.2216667346081893,-0.28385606515110956,20,2
shoots 21d protocol a,Kernel Ridge,2.661019536329556,0.669178365607122,-0.06727425621665639,-0.055398346664657296,49,3
shoots 21d protocol a,Kernel Ridge,3.2280055453133496,1.4242976646793615,-0.24166284830734597,0.18071044760964247,11,4
shoots 21d protocol a,Random Forest,1.2949833041990535,1.2199627960063852,-1.137374576664386,-0.062496866446070776,29,0
shoots 21d protocol a,Random Forest,1.070749499974096,0.946729953987861,-0.40736850008701375,0.205036477745313,24,1
shoots 21d protocol a,Random Forest,1.2395876154615564,1.103994638949014,-0.3085522337837332,0.23077078694333342,20,2
shoots 21d protocol a,Random Forest,2.578479646071351,1.1099993787355706,-0.0020913721967736887,0.009566503487955921,49,3
shoots 21d protocol a,Random Forest,2.9734132693229354,1.7901819468586202,-0.05352705513886935,-0.01421914419415394,11,4
shoots 21d protocol b,Mean baseline,2.6722038684732374,1.3231815864628873,-0.00415533661626899,-6.446450249032651e-17,31,0
shoots 21d protocol b,Mean baseline,1.5703788155230183,1.0268568079200646,-0.05402107549542867,,27,1
shoots 21d protocol b,Mean baseline,1.728195790150667,1.1751647509300163,-0.0041647189617470826,,24,2
shoots 21d protocol b,Mean baseline,2.0385128181820615,1.1348528044414163,-0.007517169269263935,0.0,55,3
shoots 21d protocol b,Mean baseline,1.9503505526914844,1.103334694792682,-0.00011198289107050563,,15,4
shoots 21d protocol b,Elastic Net,4.8441683980609875,3.0916864485102082,-2.299895509041052,0.03105052082102812,31,0
shoots 21d protocol b,Elastic Net,1.8872028260505458,1.057816399100386,-0.5222206014788477,-0.17656222990399575,27,1
