inner_test_year,inner_train_year_max,n_train_environments,n_valid_environments,n,config,e_rank_requested,e_rank_effective,gamma_multiplier,rbf_gamma,alpha,sse,sae,rmse,mae,outer_outcome_used
2018,2017,59,21,10591,diagnostic_rank16_gamma0.5,16,16,0.5,0.005149150520513157,10.0,74846.23457188455,22953.447778357695,2.658376530819761,2.167259727915938,False
2018,2017,59,21,10591,diagnostic_rank16_gamma1,16,16,1.0,0.010298301041026314,10.0,72743.0024217642,22600.428917255733,2.6207592489317872,2.133927761047657,False
2018,2017,59,21,10591,diagnostic_rank16_gamma2,16,16,2.0,0.020596602082052627,10.0,71187.73135565365,22201.056270388275,2.5925914974794475,2.0962190794437046,False
2018,2017,59,21,10591,diagnostic_rank16_gamma4,16,16,4.0,0.041193204164105254,10.0,77050.49936070706,23105.06580479954,2.697237846192605,2.181575470191629,False
2018,2017,59,21,10591,diagnostic_rank32_gamma0.5,32,32,0.5,0.005149150520513157,10.0,70000.63569695424,21979.837807075935,2.570884157160284,2.0753316785077836,False
2018,2017,59,21,10591,diagnostic_rank32_gamma1,32,32,1.0,0.010298301041026314,10.0,68164.78649017704,21602.58741758041,2.5369479403901343,2.0397117758078,False
2018,2017,59,21,10591,diagnostic_rank32_gamma2,32,32,2.0,0.020596602082052627,10.0,59954.622995586185,20143.616593197985,2.379265209269183,1.9019560563873086,False
2018,2017,59,21,10591,diagnostic_rank32_gamma4,32,32,4.0,0.041193204164105254,10.0,58840.59459082898,20084.918591276153,2.3570567680001266,1.896413803349651,False
2019,2018,80,21,10909,diagnostic_rank8_gamma0.5,8,8,0.5,0.004348453119512158,10.0,85910.31726540919,24887.808740809924,2.8062747624706192,2.281401479586573,False
2019,2018,80,21,10909,diagnostic_rank8_gamma1,8,8,1.0,0.008696906239024317,10.0,86203.1799694479,25065.37242156519,2.811053897396166,2.2976782859625255,False
2019,2018,80,21,10909,diagnostic_rank8_gamma2,8,8,2.0,0.017393812478048633,10.0,88156.90521003255,25321.53013882022,2.8427305512296694,2.3211596057219013,False
2019,2018,80,21,10909,diagnostic_rank8_gamma4,8,8,4.0,0.03478762495609727,10.0,90718.93412003951,25630.57895611808,2.883742636592288,2.3494893167217965,False
2019,2018,80,21,10909,diagnostic_rank16_gamma0.5,16,16,0.5,0.004348453119512158,10.0,83334.74634927748,24271.500553329926,2.7638889403099616,2.2249060916060066,False
2019,2018,80,21,10909,diagnostic_rank16_gamma1,16,16,1.0,0.008696906239024317,10.0,82475.15636695008,24264.94994403713,2.749597364952004,2.2243056140835207,False
2019,2018,80,21,10909,diagnostic_rank16_gamma2,16,16,2.0,0.017393812478048633,10.0,82285.77812249122,24207.044919013908,2.7464387581515686,2.2189976092230186,False
2019,2018,80,21,10909,diagnostic_rank16_gamma4,16,16,4.0,0.03478762495609727,10.0,89256.56795623887,25407.119037140714,2.860405608532458,2.3290053201155665,False
2019,2018,80,21,10909,diagnostic_rank32_gamma0.5,32,32,0.5,0.004348453119512158,10.0,74564.84165734018,23297.47211472025,2.6144153160859678,2.1356194073444175,False
2019,2018,80,21,10909,diagnostic_rank32_gamma1,32,32,1.0,0.008696906239024317,10.0,75555.54003714153,23428.391191174822,2.63172609135585,2.1476204226945477,False
2019,2018,80,21,10909,diagnostic_rank32_gamma2,32,32,2.0,0.017393812478048633,10.0,78276.44131988761,23818.994794437505,2.6786937580330283,2.183426051373866,False
2019,2018,80,21,10909,diagnostic_rank32_gamma4,32,32,4.0,0.03478762495609727,10.0,78698.04771646157,23698.546243560257,2.685897954950544,2.172384842200042,False
2020,2019,101,16,6715,diagnostic_rank8_gamma0.5,8,8,0.5,0.004394674970702014,10.0,45904.667316792016,14271.19945799344,2.614600943991354,2.1252716988821208,False
2020,2019,101,16,6715,diagnostic_rank8_gamma1,8,8,1.0,0.008789349941404028,10.0,47800.885985372544,14563.740367589962,2.6680561466531403,2.1688369869828685,False
2020,2019,101,16,6715,diagnostic_rank8_gamma2,8,8,2.0,0.017578699882808056,10.0,50979.46135500646,14957.12047559769,2.755336292926755,2.2274192815484275,False
2020,2019,101,16,6715,diagnostic_rank8_gamma4,8,8,4.0,0.03515739976561611,10.0,56260.98104883626,15734.415692004937,2.894547240982759,2.343174339836923,False
2020,2019,101,16,6715,diagnostic_rank16_gamma0.5,16,16,0.5,0.004394674970702014,10.0,40523.02191620307,13283.079874490999,2.456562985169463,1.9781206067745345,False
2020,2019,101,16,6715,diagnostic_rank16_gamma1,16,16,1.0,0.008789349941404028,10.0,42001.98179736623,13580.477753250634,2.500989582175691,2.0224091963143165,False
2020,2019,101,16,6715,diagnostic_rank16_gamma2,16,16,2.0,0.017578699882808056,10.0,43286.23109776561,13824.376562343625,2.5389367295619305,2.0587306868717237,False
2020,2019,101,16,6715,diagnostic_rank16_gamma4,16,16,4.0,0.03515739976561611,10.0,50748.04720613353,14971.443053818912,2.7490754475372627,2.2295522045895626,False
2020,2019,101,16,6715,diagnostic_rank32_gamma0.5,32,32,0.5,0.004394674970702014,10.0,38833.21672788592,12924.761525932427,2.404798402743681,1.924759720913243,False
2020,2019,101,16,6715,diagnostic_rank32_gamma1,32,32,1.0,0.008789349941404028,10.0,39081.45677930827,12965.402718448398,2.412472455309273,1.9308120206177808,False
2020,2019,101,16,6715,diagnostic_rank32_gamma2,32,32,2.0,0.017578699882808056,10.0,39924.406417749386,13104.87347775176,2.4383510173791105,1.9515820517873061,False
2020,2019,101,16,6715,diagnostic_rank32_gamma4,32,32,4.0,0.03515739976561611,10.0,47365.846661778196,14502.106096852802,2.6558873099388642,2.1596583911917797,False
