environment,year,city,horizon,issuance_date,planting_date,uses_current_year_realized_weather,max_current_year_weather_date_used,uses_future_weather,uses_observed_phenology,historical_weather_years_used,plant_population_proxy,ssurgo_available,ssurgo_mukey,ssurgo_mapunit,ssurgo_component,wx_t2m,wx_t2m_min,wx_t2m_max,wx_prectotcorr,wx_allsky_sfc_sw_dwn,wx_rh2m,wx_ws2m,wx_n_days
2014-MNH1,2014,Waseca,T1_30DAP,2014-06-15,2014-05-16,True,2014-06-15,False,False,0,,True,455433,"Glencoe clay loam, 0 to 1 percent slopes",Glencoe,17.819032258064517,-0.37,28.92,123.32000000000004,644.4399999999998,73.44709677419357,2.9106451612903226,31
2014-MNH1,2014,Waseca,T2_60DAP_reproductive_window_proxy,2014-07-15,2014-05-16,True,2014-07-15,False,False,0,,True,455433,"Glencoe clay loam, 0 to 1 percent slopes",Glencoe,19.156557377049182,-0.37,29.68,282.5799999999999,1276.9499999999998,77.04426229508195,2.9362295081967216,61
2014-MOH2,2014,Columbia,T0_preseason,2014-05-05,2014-05-05,False,,False,False,10,,True,2533525,"Haymond silt loam, 0 to 3 percent slopes, frequently flooded",Haymond,21.592868852459013,1.78,41.66,2299.42,13669.99,76.42696721311476,2.456377049180328,610
2014-MOH2,2014,Columbia,T1_30DAP,2014-06-04,2014-05-05,True,2014-06-04,False,False,0,,True,2533525,"Haymond silt loam, 0 to 3 percent slopes, frequently flooded",Haymond,20.026451612903227,1.61,29.69,104.86000000000001,673.0899999999999,77.20096774193547,2.456774193548387,31
2014-MOH2,2014,Columbia,T2_60DAP_reproductive_window_proxy,2014-07-04,2014-05-05,True,2014-07-04,False,False,0,,True,2533525,"Haymond silt loam, 0 to 3 percent slopes, frequently flooded",Haymond,21.55967213114754,1.61,32.87,205.53,1320.0400000000002,77.12573770491805,2.408196721311475,61
2014-NEH1,2014,Lincoln,T0_preseason,2014-05-16,2014-05-16,False,,False,False,10,,True,1691396,"Urban land-Kennebec complex, 0 to 2 percent slopes",Urban land,22.464442622950823,3.15,42.01,2205.83,14157.919999999998,67.66198360655738,3.2299672131147537,610
2014-NEH1,2014,Lincoln,T1_30DAP,2014-06-15,2014-05-16,True,2014-06-15,False,False,0,,True,1691396,"Urban land-Kennebec complex, 0 to 2 percent slopes",Urban land,20.013870967741934,1.21,30.15,145.04000000000002,719.77,70.80225806451614,2.9699999999999998,31
2014-NEH1,2014,Lincoln,T2_60DAP_reproductive_window_proxy,2014-07-15,2014-05-16,True,2014-07-15,False,False,0,,True,1691396,"Urban land-Kennebec complex, 0 to 2 percent slopes",Urban land,21.595901639344266,1.21,33.54,268.67,1425.9900000000002,71.2183606557377,2.9811475409836063,61
2014-NEH2,2014,North Platte,T0_preseason,2014-05-15,2014-05-15,False,,False,False,10,,True,2745909,"Holdrege silt loam, 1 to 3 percent slopes, plains and breaks",Holdrege,21.64639344262295,1.77,43.77,2139.0,14994.509999999998,58.64796721311475,3.377918032786885,610
2014-NEH2,2014,North Platte,T1_30DAP,2014-06-14,2014-05-15,True,2014-06-14,False,False,0,,True,2745909,"Holdrege silt loam, 1 to 3 percent slopes, plains and breaks",Holdrege,18.94516129032258,2.11,35.45,157.89999999999998,707.1700000000001,61.82032258064516,3.4441935483870965,31
2014-NEH2,2014,North Platte,T2_60DAP_reproductive_window_proxy,2014-07-14,2014-05-15,True,2014-07-14,False,False,0,,True,2745909,"Holdrege silt loam, 1 to 3 percent slopes, plains and breaks",Holdrege,20.93754098360656,2.11,36.17,258.66999999999996,1508.0499999999997,61.21393442622951,3.222950819672131,61
