environment,test_year,model,n,rmse,mae,r2,correlation
2016-TXH2,2016,Selected-T2,234,1.9134476643812113,1.501766539368821,-0.04729020581289256,0.30937585931937955
2016-WIH1,2016,Frozen-T1,308,1.8335809577907871,1.4117086685481222,0.08024545425744667,0.3762580691939065
2016-WIH1,2016,Frozen-T2,308,6.399131647230899,6.138712584128858,-10.202471625104508,0.3486919807796158
2016-WIH1,2016,Selected-T2,308,6.399131647230899,6.138712584128858,-10.202471625104508,0.3486919807796158
2016-WIH2,2016,Frozen-T1,418,3.874494864729653,3.2519520002893425,-1.56693939080127,0.3519512763816246
2016-WIH2,2016,Frozen-T2,418,10.973858171655507,10.726660680909474,-19.592265128872587,0.32750714502852735
2016-WIH2,2016,Selected-T2,418,10.973858171655507,10.726660680909474,-19.592265128872587,0.32750714502852735
2017-COH1,2017,Frozen-T1,209,1.3778976233529774,1.022789898068113,-0.06130374563559782,0.149200031660361
2017-COH1,2017,Frozen-T2,209,1.3509684361006897,1.020214175157063,-0.020225559274644755,0.17506561926922998
2017-COH1,2017,Selected-T2,209,1.3955835491190234,1.0272816387674455,-0.08872320040831405,0.14009490050756104
2017-DEH1,2017,Frozen-T1,168,2.170495031331277,1.748878504475766,-0.07058229564241669,0.4262823780740051
2017-DEH1,2017,Frozen-T2,168,3.9463911387455046,3.482909029297602,-2.5391805592214167,0.41204449519799546
2017-DEH1,2017,Selected-T2,168,4.862711165766955,4.483919346618798,-4.373526729771928,0.4473176945517627
2017-GAH1,2017,Frozen-T1,130,2.628671598644434,2.0819775841192003,-0.044317546527196994,0.26330883246718095
2017-GAH1,2017,Frozen-T2,130,3.8403934316475494,3.1629977415671324,-1.2290065558126058,0.23851818414694717
2017-GAH1,2017,Selected-T2,130,2.740000521970899,2.2568516405214907,-0.13464812668590276,0.2791409971473782
2017-GAH2,2017,Frozen-T1,84,1.5983725440737198,1.2592249349630449,0.0030575885389799717,0.1675244183193997
2017-GAH2,2017,Frozen-T2,84,2.823766718745351,2.3990038443793886,-2.111513436348832,0.1346160828685785
2017-GAH2,2017,Selected-T2,84,2.4747625739050645,2.169116780342175,-1.3899077039112502,0.17509324091231232
2017-IAH4,2017,Frozen-T1,326,2.040464795645078,1.681761553634244,-0.46264737395162503,0.4135948621618523
2017-IAH4,2017,Frozen-T2,326,3.7840784165628625,3.4484455520296753,-4.030390252456603,0.3596057507202095
2017-IAH4,2017,Selected-T2,326,6.205611171879756,6.005328456798798,-12.528527969141036,0.39189175299299245
2017-ILH1,2017,Frozen-T1,173,1.9944676741348262,1.6293406126285968,-1.4836585879563486,-0.052499949510516036
2017-ILH1,2017,Frozen-T2,173,4.637707706003128,4.4111233142620465,-12.429029861837417,-0.05168185654523101
2017-ILH1,2017,Selected-T2,173,5.585947855202688,5.408824780166573,-18.481915126831716,-0.059921871300409026
2017-INH1,2017,Frozen-T1,163,2.3834609481994042,2.0430814053664506,-1.103544036752134,0.36447091324283215
2017-INH1,2017,Frozen-T2,163,4.1633108789246,3.871361134543352,-5.418199459708974,0.3339641392183239
2017-INH1,2017,Selected-T2,163,6.044953600047338,5.848328853747521,-12.530737548387457,0.3702391567130461
2017-MIH1,2017,Frozen-T1,184,1.6240937873279406,1.2695384614094831,0.17569851375088896,0.473075676846897
2017-MIH1,2017,Frozen-T2,184,1.8143709114182298,1.5177079215983407,-0.02876462409699121,0.4653354962191217
2017-MIH1,2017,Selected-T2,184,1.7999287984402117,1.4972971925567848,-0.012452189863019214,0.4530073169090917
2017-MNH1,2017,Frozen-T1,212,1.8142755691693495,1.4672711608369358,-0.37558894348417304,0.12712031965829407
2017-MNH1,2017,Frozen-T2,212,1.9560564399179463,1.603147117864702,-0.5989870078941495,0.10318656792335107
2017-MNH1,2017,Selected-T2,212,1.6230602940229903,1.2551197819075097,-0.10090914281279995,0.1409628085232638
2017-NYH1,2017,Frozen-T1,204,1.6041601126334983,1.297682069121696,-0.004182115524733687,0.17529789959513012
2017-NYH1,2017,Frozen-T2,204,1.6197639184049175,1.3128567248173835,-0.023812662048927624,0.1585902148581786
2017-NYH1,2017,Selected-T2,204,1.604820108867472,1.2970615733655544,-0.005008582593065691,0.15712618788433283
2017-NYH2,2017,Frozen-T1,197,3.3167085311791866,3.028138206008369,-3.866414395103094,0.14938352931428664
2017-NYH2,2017,Frozen-T2,197,3.3875076359159255,3.089288071851082,-4.076390679965904,0.11111192132619399
2017-NYH2,2017,Selected-T2,197,3.183790382825073,2.8867333206824286,-3.484183801324318,0.13323369634400126
2017-NYH3,2017,Frozen-T1,132,2.5422811700185264,2.2330378749195443,-1.3287136647639604,0.2675615126308262
2017-NYH3,2017,Frozen-T2,132,2.5255208912883753,2.218184701735109,-1.2981102554631434,0.25736363701990705
2017-NYH3,2017,Selected-T2,132,2.4406746239762613,2.1307127053480204,-1.1462914799330486,0.28946990286847846
2017-TXH1-Dry,2017,Frozen-T1,133,2.0194198063663364,1.673411516286061,-0.8393386337438924,0.06629358412563585
2017-TXH1-Dry,2017,Frozen-T2,133,2.2729259210698123,1.9250498191110712,-1.3301239991863518,0.09008113040211622
2017-TXH1-Dry,2017,Selected-T2,133,3.5136400641309278,3.1945460404111934,-4.56830494239361,0.10693610141811222
2017-TXH1-Early,2017,Frozen-T1,178,2.2889403771186028,1.9150792863638548,-1.6589801624616722,0.023556724451961934
2017-TXH1-Early,2017,Frozen-T2,178,2.582354135457131,2.2139914385542623,-2.384369217384175,0.03212701155997288
2017-TXH1-Early,2017,Selected-T2,178,3.902906988805059,3.632312978742895,-6.730766215651008,0.05873773306941818
2017-TXH1-Late,2017,Frozen-T1,133,3.1088110513191705,2.9217556003293605,-8.790287329324624,-0.007551041553439291
2017-TXH1-Late,2017,Frozen-T2,133,3.9196598885387735,3.764368574373357,-14.563366793203935,-0.01559520192083017
2017-TXH1-Late,2017,Selected-T2,133,2.5391844470981506,2.3382580007175995,-5.531234576785302,0.039506666571493994
2017-TXH2,2017,Frozen-T1,131,1.9014082815565037,1.5404953428976864,-0.02464336937049061,0.09399832287227992
2017-TXH2,2017,Frozen-T2,131,1.8863424524396348,1.5398614340936214,-0.008470152880678983,0.10377801119717131
2017-TXH2,2017,Selected-T2,131,1.8822097683429653,1.5441019077788032,-0.004056189575784019,0.11690201207995334
2017-WIH1,2017,Frozen-T1,274,3.065464480453654,2.684965223223077,-1.054620056263201,0.38399479638668255
2017-WIH1,2017,Frozen-T2,274,2.8479663249301943,2.482401355185092,-0.7734079299436161,0.3699767310094067
2017-WIH1,2017,Selected-T2,274,2.162861107789116,1.8021433343137376,-0.022812928964341728,0.39532320061733117
2017-WIH2,2017,Frozen-T1,278,2.0096762932090546,1.6827492237516806,-0.4354827918697779,0.46459781547008216
2017-WIH2,2017,Frozen-T2,278,2.139291982170744,1.7997288083087788,-0.6266192167463092,0.42604167794443953
2017-WIH2,2017,Selected-T2,278,2.9128869221958142,2.5738705962342916,-2.015733936290182,0.4649184206095689
2018-ARH2,2018,Frozen-T1,429,4.280994296308884,4.215708511934303,-42.338859049354895,-0.026837344045072067
2018-ARH2,2018,Frozen-T2,429,5.088545960962216,5.034991795052349,-60.231595850957014,-0.028316722038713164
2018-ARH2,2018,Selected-T2,429,4.075382458878543,4.0073808317333395,-38.27578907512208,-0.026711942889992894
2018-DEH1,2018,Frozen-T1,595,3.2989864791192525,2.749466231894917,-1.6907308126665215,0.30850737364935554
2018-DEH1,2018,Frozen-T2,595,3.1294570640393657,2.560460403083338,-1.4212920480451534,0.30118156316972367
2018-DEH1,2018,Selected-T2,595,2.7233428194000666,2.127306786918539,-0.8336388839853774,0.3047698031497811
2018-IAH2,2018,Frozen-T1,434,3.021685487486575,2.6370811294956615,-2.0814350890097653,0.10595628207884285
2018-IAH2,2018,Frozen-T2,434,2.9625233645304276,2.5774097080115252,-1.9619523972354949,0.1098293486592528
2018-IAH2,2018,Selected-T2,434,3.230441334859317,2.850812549835332,-2.5219097543560896,0.10146290491832159
2018-IAH4,2018,Frozen-T1,804,2.9479478683046247,2.66828160738827,-4.236737133777057,-0.001547262875422077
2018-IAH4,2018,Frozen-T2,804,2.7008001711652474,2.4079455754152916,-3.3954776991841493,0.0038335729885079555
2018-IAH4,2018,Selected-T2,804,3.024660565275737,2.751425457690219,-4.51282827417608,-0.003927911722785677
2018-ILH1,2018,Frozen-T1,394,2.7300306107354393,2.3689817778945583,-2.0206980654013704,-0.13052114268121484
2018-ILH1,2018,Frozen-T2,394,2.516988158178534,2.1477690802624902,-1.5676429326875043,-0.12567246565269197
2018-ILH1,2018,Selected-T2,394,2.969247481751031,2.6202918796470884,-2.573263784777229,-0.1321489481762401
2018-INH1,2018,Frozen-T1,407,2.660569848119407,2.3326407079325757,-2.9614997469378017,-0.01762473188147533
2018-INH1,2018,Frozen-T2,407,2.5843777589443024,2.2530643997689808,-2.737853641967009,-0.01952617886983971
