regime,environment,horizon,n,rmse,mae,r2,correlation
CV-GE-B8,2019-NYH3,Pre-flowering-observed,573,3.877386671320029,3.408844891800433,-2.4809364371734013,0.09397821899534177
CV-GE-B8,2019-NYH3,Pre-season-G-only,573,3.9306796956699794,3.4643003041348144,-2.577282002613748,0.09014353531334407
CV-GE-B8,2019-NYH3,Pre-season-location-history,573,3.2947308137969324,2.812629681592091,-1.5133776114276758,0.08456931073127825
CV-GE-B8,2019-NYH3,Reproductive-stage-observed,573,2.993783819112687,2.5185638505140044,-1.0751941785467336,0.10960165702697139
CV-GE-B8,2019-OHH1,At-flowering-observed,367,2.905909575631124,2.596784334389031,-1.9860629830265863,0.07202063260090753
CV-GE-B8,2019-OHH1,Full-season-nonleaky,367,3.262131214314988,2.974402452431633,-2.7630295043307513,0.09540062282293266
CV-GE-B8,2019-OHH1,Pre-flowering-observed,367,3.3784685854215533,3.088378003319653,-3.0362173198278057,0.05480673755806552
CV-GE-B8,2019-OHH1,Pre-season-G-only,367,2.551482520307254,2.2236450204312574,-1.3020776395090299,0.0726897425127653
CV-GE-B8,2019-OHH1,Pre-season-location-history,367,1.9454748481325932,1.5838030129056835,-0.3384002607060186,0.09279714550378024
CV-GE-B8,2019-OHH1,Reproductive-stage-observed,367,3.2317574323215017,2.9406599219622844,-2.6932804248285387,0.07559621622632803
CV-GE-B8,2019-SCH1,At-flowering-observed,365,5.946592827868787,5.86184641341569,-35.91713737076274,0.12177316902326628
CV-GE-B8,2019-SCH1,Full-season-nonleaky,365,4.851431766209804,4.750506647057014,-23.571488563952066,0.1518262009462802
CV-GE-B8,2019-SCH1,Pre-flowering-observed,365,5.59724815960909,5.5068092467679755,-31.707001929894908,0.12872539412575207
CV-GE-B8,2019-SCH1,Pre-season-G-only,365,5.713882800325192,5.623514778058108,-33.08429130976122,0.10073371300980623
CV-GE-B8,2019-SCH1,Pre-season-location-history,365,4.799336383109237,4.694819795660061,-23.046617379593922,0.144937057825038
CV-GE-B8,2019-SCH1,Reproductive-stage-observed,365,4.927410640439121,4.827492677740139,-24.34714948880291,0.14734527960034355
CV-GE-B8,2019-TXH1,At-flowering-observed,571,1.780347060049476,1.3361104439899285,-0.026555688286302725,0.0364138305128596
CV-GE-B8,2019-TXH1,Full-season-nonleaky,571,1.9106239374900156,1.540111986374929,-0.18228886534947475,0.017175445211786253
CV-GE-B8,2019-TXH1,Pre-flowering-observed,571,1.8078465276228781,1.3986070745993258,-0.05851322683796267,0.03859057280532982
CV-GE-B8,2019-TXH1,Pre-season-G-only,571,1.922719047637039,1.4034715061382141,-0.19730508724341012,0.019771019051964905
CV-GE-B8,2019-TXH1,Pre-season-location-history,571,2.007341714090387,1.652727402333712,-0.3050158598550299,0.022358696943919624
CV-GE-B8,2019-TXH1,Reproductive-stage-observed,571,1.8193032483996765,1.417790080525553,-0.07197179902468775,0.03640273237934571
CV-GE-B8,2019-TXH2,At-flowering-observed,438,1.564863622429473,1.266242159106866,-0.20548479471264725,-0.003786059260883168
CV-GE-B8,2019-TXH2,Full-season-nonleaky,438,1.5215748067956787,1.229948499592756,-0.1397126401532598,0.0010669190095148047
CV-GE-B8,2019-TXH2,Pre-flowering-observed,438,1.5697230465467307,1.2711557202926476,-0.21298328501461095,-0.003370118100419442
CV-GE-B8,2019-TXH2,Pre-season-G-only,438,1.4840682369405978,1.1954579560433065,-0.0842176860553836,-0.015459519572540619
CV-GE-B8,2019-TXH2,Pre-season-location-history,438,1.520683924703821,1.2235190541634124,-0.13837842729321648,0.016760795865444374
CV-GE-B8,2019-TXH2,Reproductive-stage-observed,438,1.4818846540909472,1.2000751157851244,-0.08102950724903146,0.0034971352295579995
CV-GE-B8,2019-TXH3,At-flowering-observed,445,1.70289654748235,1.34407715599335,-0.24179006430453942,0.025945851285453264
CV-GE-B8,2019-TXH3,Full-season-nonleaky,445,1.6150296649349478,1.2726612486374747,-0.11694723788730554,0.0371715765362736
CV-GE-B8,2019-TXH3,Pre-flowering-observed,445,1.5909515802332965,1.2396279169667097,-0.0838909131676644,0.023423613382977514
CV-GE-B8,2019-TXH3,Pre-season-G-only,445,1.6580052627078918,1.2941978089139865,-0.1771815863161843,0.009020706275967036
CV-GE-B8,2019-TXH3,Pre-season-location-history,445,6.33718669455117,6.140971173838968,-16.197473706815966,0.05595754852685516
CV-GE-B8,2019-TXH3,Reproductive-stage-observed,445,1.679688859063623,1.3259954554937223,-0.20817357885403087,0.03271765430494566
CV-GE-B8,2019-WIH1,At-flowering-observed,580,2.3767222916672894,1.9619505989639179,-0.1600729023402423,0.03662545055971304
CV-GE-B8,2019-WIH1,Full-season-nonleaky,580,3.035389897144896,2.620282155014461,-0.8921578855148657,0.040657489649109015
CV-GE-B8,2019-WIH1,Pre-flowering-observed,580,2.23772048024099,1.7349092424551678,-0.028347926524036282,0.02902299061494388
CV-GE-B8,2019-WIH1,Pre-season-G-only,580,3.208879446453317,2.791268634873965,-1.1146339790196929,0.04181403318655506
CV-GE-B8,2019-WIH1,Pre-season-location-history,580,2.4840438889153735,2.0831603147729996,-0.267205161070458,0.03142725589918304
CV-GE-B8,2019-WIH1,Reproductive-stage-observed,580,2.943196477457482,2.529759484820917,-0.7789629918703342,0.03576410421574935
CV-GE-B8,2019-WIH2,At-flowering-observed,1113,3.757760211664709,3.373143694080003,-4.081729577065279,0.012068917344587985
CV-GE-B8,2019-WIH2,Full-season-nonleaky,1113,2.948074676784198,2.5197514026985046,-2.127738123954806,0.013241493253999748
CV-GE-B8,2019-WIH2,Pre-flowering-observed,1113,2.6210389578629933,2.181208789668359,-1.4722954831450061,0.09307082353272193
CV-GE-B8,2019-WIH2,Pre-season-G-only,1113,2.2600403614281683,1.8237743113134666,-0.8381705907122421,0.1702068655639699
CV-GE-B8,2019-WIH2,Pre-season-location-history,1113,2.1735712543095764,1.7480132217608852,-0.7002046000107385,-0.03676766484621998
CV-GE-B8,2019-WIH2,Reproductive-stage-observed,1113,3.8646677095907123,3.4945356254909923,-4.374990984704942,0.022359090768043672
CV-GE-B8,2020-DEH1,At-flowering-observed,1143,2.96540016837579,2.5279474432567164,-1.3952330405162274,0.50018438430028
CV-GE-B8,2020-DEH1,Full-season-nonleaky,1143,1.9480345544768383,1.4969084423840446,-0.033652288304562905,0.4878254371078374
CV-GE-B8,2020-DEH1,Pre-flowering-observed,1143,2.7994564451278197,2.3471129432835087,-1.134659389644629,0.503444210824861
CV-GE-B8,2020-DEH1,Pre-season-G-only,1143,2.332538236431847,1.879572099942111,-0.48196757482415276,0.5111098806445781
CV-GE-B8,2020-DEH1,Pre-season-location-history,1143,2.8370590962576014,2.331814468436441,-1.1923905560724535,0.42192317044875743
CV-GE-B8,2020-DEH1,Reproductive-stage-observed,1143,2.085376102368213,1.6270353638581558,-0.18454057847018013,0.5056893289336918
CV-GE-B8,2020-INH1,At-flowering-observed,415,2.0538976791431782,1.6205487349254173,-0.5700046363848741,0.08069475337808882
CV-GE-B8,2020-INH1,Full-season-nonleaky,415,1.7551447371698534,1.365687629044153,-0.14648716973145204,0.07101089297810344
CV-GE-B8,2020-INH1,Pre-flowering-observed,415,2.8539812223811816,2.4432023965343657,-2.0314160755672646,0.08673331479618329
CV-GE-B8,2020-INH1,Pre-season-G-only,415,2.1441259656532257,1.692776320113372,-0.71097600525751,0.04670276753197509
CV-GE-B8,2020-INH1,Pre-season-location-history,415,1.8746111159698273,1.4937383424161346,-0.30787338638602835,0.10914935569786877
CV-GE-B8,2020-INH1,Reproductive-stage-observed,415,1.762384877966065,1.3698918122642476,-0.15596541845407774,0.07519832374882804
CV-GE-B8,2020-MIH1,At-flowering-observed,415,3.3837987037302804,3.113926720271276,-6.193955286438771,0.0212034236195458
CV-GE-B8,2020-MIH1,Full-season-nonleaky,415,3.3004714622746962,3.029586599829898,-5.844010365606323,0.023300293724562857
CV-GE-B8,2020-MIH1,Pre-flowering-observed,415,3.585578860687814,3.322980915721289,-7.077505310840792,0.011756574794082921
CV-GE-B8,2020-MIH1,Pre-season-G-only,415,3.295467942650305,3.021908593626493,-5.823275035226184,0.01678134995530077
CV-GE-B8,2020-MIH1,Pre-season-location-history,415,2.8889627473526165,2.6095986204550643,-4.243757244775487,0.08678326937792778
CV-GE-B8,2020-MIH1,Reproductive-stage-observed,415,2.8432923679060575,2.5459136181228468,-4.079275075459747,0.026511511304186094
CV-GE-B8,2020-MNH1,At-flowering-observed,392,1.634626132696649,1.2636830470177582,-0.23601667622297628,0.26508524880009177
CV-GE-B8,2020-MNH1,Full-season-nonleaky,392,1.6165002555539647,1.246633209461704,-0.20875702216808478,0.2513849027566199
CV-GE-B8,2020-MNH1,Pre-flowering-observed,392,1.4577015735016714,1.1177808617908986,0.01706522521542131,0.253539122039089
CV-GE-B8,2020-MNH1,Pre-season-G-only,392,1.4999975462242146,1.1505299785348357,-0.0408030401423396,0.2630399104158291
CV-GE-B8,2020-MNH1,Pre-season-location-history,392,1.6575349748490409,1.3497359734746313,-0.27090432284695165,0.2510473116301955
CV-GE-B8,2020-MNH1,Reproductive-stage-observed,392,1.5488094421096013,1.1890106935125553,-0.10964338897974835,0.24807386816199037
CV-GE-B8,2020-NEH1,At-flowering-observed,246,1.844626691822315,1.407733103603882,-0.019597148002380882,0.1835934294566125
CV-GE-B8,2020-NEH1,Full-season-nonleaky,246,1.81518412384847,1.4676189024904434,0.012691209816572124,0.13325549273315232
CV-GE-B8,2020-NEH1,Pre-flowering-observed,246,1.8389011569384968,1.5167780048167954,-0.013277517924291882,0.17957324100289848
CV-GE-B8,2020-NEH1,Pre-season-G-only,246,1.846952586149723,1.4055717419836242,-0.022169994131916892,0.2031070472822055
CV-GE-B8,2020-NEH1,Pre-season-location-history,246,2.3195019085237014,1.7813090723908114,-0.6121338731026313,0.19165752633804825
