environment,test_year,train_year_max,n_train_environments,n_test_environments,t1_rmse,t1_mae,t1_full_nearest_z,t1_full_mean5_z,t1_full_nearest_percentile,t1_full_max_training_kernel_similarity,t1_full_local_kernel_density5,t1_full_kernel_mass,t1_full_kernel_projection_support,t1_full_kernel_projection_residual,t1_weather_nearest_z,t1_weather_mean5_z,t1_weather_nearest_percentile,t1_weather_max_training_kernel_similarity,t1_weather_local_kernel_density5,t1_weather_kernel_projection_support,t1_weather_kernel_projection_residual,t1_nearest_training_location_km,t1_city_seen_previously,t1_coordinate_seen_previously,t1_soil_mukey_seen_previously,t2_rmse,t2_mae,t2_full_nearest_z,t2_full_mean5_z,t2_full_nearest_percentile,t2_full_max_training_kernel_similarity,t2_full_local_kernel_density5,t2_full_kernel_mass,t2_full_kernel_projection_support,t2_full_kernel_projection_residual,t2_weather_nearest_z,t2_weather_mean5_z,t2_weather_nearest_percentile,t2_weather_max_training_kernel_similarity,t2_weather_local_kernel_density5,t2_weather_kernel_projection_support,t2_weather_kernel_projection_residual,t2_nearest_training_location_km,t2_city_seen_previously,t2_coordinate_seen_previously,t2_soil_mukey_seen_previously,rmse_t2_minus_t1,mae_t2_minus_t1,delta_full_nearest_z_t2_minus_t1,delta_full_mean5_z_t2_minus_t1,delta_full_nearest_percentile_t2_minus_t1,delta_full_max_training_kernel_similarity_t2_minus_t1,delta_full_local_kernel_density5_t2_minus_t1,delta_full_kernel_mass_t2_minus_t1,delta_full_kernel_projection_support_t2_minus_t1,delta_full_kernel_projection_residual_t2_minus_t1,delta_weather_nearest_z_t2_minus_t1,delta_weather_mean5_z_t2_minus_t1,delta_weather_nearest_percentile_t2_minus_t1,delta_weather_max_training_kernel_similarity_t2_minus_t1,delta_weather_local_kernel_density5_t2_minus_t1,delta_weather_kernel_projection_support_t2_minus_t1,delta_weather_kernel_projection_residual_t2_minus_t1,t2_worse_than_t1,t2_extreme_support_percentile
2017-WIH1,2017,2016,41,18,3.065464480453654,2.684965223223077,1.2508748437372819,6.868686247143623,0.14634146341463414,0.9630504295630598,0.3467812998543476,5.940131659511271,0.20553951223192998,0.79446048776807,1.1681377334903793,1.2555379566144815,0.5609756097560976,0.780867348170885,0.7510258810816814,0.7213426104468924,0.2786573895531076,0.013851517149784238,True,False,True,2.8479663249301943,2.482401355185092,1.1025468689349216,6.948814580984532,0.0975609756097561,0.9713984849850095,0.3423757456564832,5.848472665497807,0.34078020174246754,0.6592197982575325,1.0457863533777676,1.2518683159337174,0.4634146341463415,0.8209825059010134,0.7514675084884952,0.6327091875927021,0.3672908124072979,0.013851517149784238,True,False,True,-0.21749815552345986,-0.2025638680379851,-0.14832797480236026,0.0801283338409089,-0.04878048780487804,0.008348055421949718,-0.00440555419786437,-0.09165899401346422,0.13524068951053755,-0.13524068951053747,-0.12235138011261171,-0.0036696406807641413,-0.09756097560975613,0.040115157730128415,0.00044162740681374935,-0.08863342285419029,0.08863342285419029,False,False
2017-WIH2,2017,2016,41,18,2.0096762932090546,1.6827492237516806,2.506904480737338,7.077932130855042,0.34146341463414637,0.8596591960628057,0.3293009389492717,5.981199344878853,0.24460025110623787,0.7553997488937622,0.7325264839836836,1.3481570442301245,0.14634146341463414,0.9073127179725214,0.7129030458548506,0.6534915116985598,0.3465084883014402,0.40970028372229533,True,False,True,2.139291982170744,1.7997288083087788,2.4564240418214087,7.145263215152032,0.2926829268292683,0.8658518109128709,0.3266944459953076,5.924243760634146,0.2600255395673714,0.7399744604326286,0.6380918963211488,1.2514771240884621,0.21951219512195122,0.9291962135395204,0.7459782035872012,0.6629499264077832,0.33705007359221684,0.40970028372229533,True,False,True,0.1296156889616893,0.11697958455709823,-0.05048043891592924,0.06733108429699008,-0.04878048780487809,0.00619261485006517,-0.00260649295396409,-0.05695558424470715,0.01542528846113353,-0.015425288461133557,-0.09443458766253476,-0.09667992014166238,0.07317073170731708,0.02188349556699898,0.03307515773235059,0.009458414709223373,-0.009458414709223373,True,False
2018-ARH2,2018,2017,59,21,4.280994296308884,4.215708511934303,4.13539329698393,4.64486650808318,0.559322033898305,0.7018890019091084,0.6396758980232315,21.172060546106344,0.7462124240196388,0.25378757598036117,0.8985739467591917,1.128431713522699,0.3728813559322034,0.8584510356802,0.7842896226869795,0.7007640329465801,0.2992359670534199,404.77566499086913,False,False,False,5.088545960962216,5.034991795052349,4.107054521943326,4.814122304920659,0.559322033898305,0.70650757199315,0.6202403233332184,20.436486773412796,0.7058029590980317,0.2941970409019683,1.0619818342646306,1.4496256800830265,0.5084745762711864,0.8120913658365472,0.6767386616107501,0.44311217912774425,0.5568878208722557,404.77566499086913,False,False,False,0.8075516646533325,0.8192832831180459,-0.02833877504060478,0.16925579683747838,0.0,0.00461857008404154,-0.019435574690013113,-0.7355737726935487,-0.04040946492160713,0.04040946492160713,0.1634078875054389,0.3211939665603274,0.13559322033898302,-0.046359669843652807,-0.10755096107622941,-0.2576518538188358,0.2576518538188358,True,False
2018-DEH1,2018,2017,59,21,3.2989864791192525,2.749466231894917,3.08287517079561,8.015699611440839,0.5254237288135594,0.8214174527364158,0.30047405546866746,6.3842509144872555,0.13029716393547341,0.8697028360645266,1.6224845428341794,1.8244557481383563,0.8983050847457628,0.6079876612908852,0.5333040037908776,0.3424295432115252,0.6575704567884748,0.14938640883728083,True,False,True,3.1294570640393657,2.560460403083338,2.3456690958891677,7.839848110763723,0.3898305084745763,0.8928596544271918,0.3178280933306453,6.760697862940529,0.10477024494701598,0.895229755052984,1.4059338800634003,1.5867193460832372,0.8813559322033898,0.6943346880962683,0.6282246155339454,0.5731310545822623,0.4268689454177377,0.14938640883728083,True,False,True,-0.16952941507988672,-0.1890058288115788,-0.7372060749064424,-0.1758515006771164,-0.13559322033898308,0.07144220169077609,0.017354037861977867,0.37644694845327376,-0.025526918988457437,0.02552691898845738,-0.21655066277077917,-0.23773640205511914,-0.016949152542372947,0.08634702680538309,0.09492061174306776,0.23070151137073713,-0.23070151137073713,False,False
2018-IAH2,2018,2017,59,21,3.021685487486575,2.637081129495661,3.6889500341298938,8.1927230396542,0.5254237288135594,0.7545177210858977,0.2838641787589967,6.693076303929968,0.1153597890939686,0.8846402109060314,0.914102653306726,1.611781971908688,0.423728813559322,0.8538955351826334,0.608569100400602,0.46400060688760203,0.535999393112398,0.0032847804546600775,True,True,True,2.962523364530428,2.577409708011525,2.705565418924361,7.996636349394633,0.423728813559322,0.8600464649197587,0.3059285814389944,7.001771049668194,0.13877513611985642,0.8612248638801436,1.3183397251856812,1.5804743139687314,0.8135593220338984,0.7255968867642856,0.6301952637371088,0.4995363589246436,0.5004636410753565,0.0032847804546600775,True,True,True,-0.05916212295614676,-0.05967142148413629,-0.9833846152055328,-0.19608669025956793,-0.10169491525423735,0.10552874383386102,0.022064402679997652,0.30869474573822586,0.023415347025887823,-0.023415347025887767,0.4042370718789552,-0.03130765793995671,0.38983050847457634,-0.12829864841834782,0.0216261633365068,0.03553575203704157,-0.03553575203704151,False,False
2018-IAH4,2018,2017,59,21,2.9479478683046247,2.66828160738827,3.1551756160441573,8.182244776756963,0.5254237288135594,0.8137848386115272,0.29047586015567023,5.996069887659472,0.10227263658769858,0.8977273634123014,1.117120736540189,1.6668813245658392,0.5932203389830508,0.7898630346270858,0.5911006781447481,0.4857024967573782,0.5142975032426218,0.13519297644600034,True,False,True,2.7008001711652474,2.407945575415292,2.965889228000338,7.9802011290171135,0.4915254237288136,0.8342868525806446,0.30533002388176783,6.303003650214398,0.12592513047799261,0.8740748695220074,1.629607351502828,1.98433921850894,0.9152542372881356,0.6125598232656857,0.48669511817351463,0.2715445668802797,0.7284554331197203,0.13519297644600034,True,False,True,-0.24714769713937734,-0.2603360319729777,-0.18928638804381936,-0.20204364773984995,-0.03389830508474578,0.02050201396911744,0.014854163726097602,0.30693376255492666,0.02365249389029403,-0.023652493890294002,0.512486614962639,0.31745789394310076,0.3220338983050848,-0.17730321136140015,-0.10440555997123346,-0.21415792987709847,0.21415792987709847,False,False
2018-ILH1,2018,2017,59,21,2.7300306107354397,2.3689817778945583,4.553432516655151,8.227298974837451,0.559322033898305,0.6510533947183791,0.2724158354486493,6.357765513901878,0.09069322288401857,0.9093067771159814,1.1806927599214314,1.4874445122828184,0.6271186440677966,0.7683515528362852,0.6572854082077932,0.6327397654464104,0.3672602345535896,0.20763854288642847,True,False,True,2.516988158178534,2.1477690802624902,3.230384971268218,7.862522229859988,0.4915254237288136,0.8065950649478477,0.3111001425799057,6.82364057091343,0.11355868797990998,0.88644131202009,1.4262198352902271,1.5646013010602382,0.8813559322033898,0.6870113826031665,0.6363607810460861,0.47704425903244563,0.5229557409675544,0.20763854288642847,True,False,True,-0.2130424525569059,-0.22121269763206808,-1.3230475453869324,-0.3647767449774628,-0.06779661016949146,0.15554167022946863,0.038684307131256424,0.4658750570115515,0.022865465095891407,-0.02286546509589138,0.2455270753687957,0.07715678877741983,0.2542372881355932,-0.08134017023311868,-0.020924627161707177,-0.1556955064139648,0.1556955064139648,False,False
2018-INH1,2018,2017,59,21,2.660569848119407,2.332640707932576,1.5471962392737357,5.1695426368158675,0.3050847457627119,0.9516584171900309,0.5674870776304878,12.365173373180445,0.8919240646590743,0.10807593534092574,0.9710122663979912,1.243038553940378,0.4745762711864407,0.8367539101599465,0.7438377062182643,0.6985956791340299,0.30140432086597013,0.06386409095361988,True,False,True,2.5843777589443024,2.2530643997689808,1.6790070644607498,5.3303292218585465,0.3220338983050847,0.9435903537355347,0.5533860534600925,12.87900209206954,0.8419453435049893,0.15805465649501071,1.169663772706412,1.3478002496176988,0.6271186440677966,0.7768620252881064,0.7145115577493941,0.6408699597277745,0.3591300402722255,0.06386409095361988,True,False,True,-0.07619208917510445,-0.0795763081635954,0.13181082518701404,0.16078658504267906,0.016949152542372836,-0.008068063454496177,-0.014101024170395271,0.5138287188890942,-0.04997872115408497,0.04997872115408497,0.19865150630842088,0.10476169567732074,0.15254237288135591,-0.05989188487184005,-0.02932614846887016,-0.05772571940625537,0.05772571940625537,False,False
2018-MIH1,2018,2017,59,21,1.8505880925686489,1.5627197015264431,4.8055511723200555,5.084895085729414,0.559322033898305,0.6200197353385879,0.585690234445809,19.96136897870715,0.6955983557920632,0.3044016442079368,1.1959717310461766,1.4511208684274055,0.6779661016949152,0.7630955917864775,0.6710301928900159,0.5891874001851879,0.4108125998148121,0.16466514597744875,True,False,False,1.3996097951994937,1.1311893194945746,4.954435814416547,5.268408892012137,0.5932203389830508,0.6031597822152587,0.5647360717096509,19.570494308616453,0.6841773189128724,0.31582268108712763,0.7983377434327038,1.2485553167088514,0.3389830508474576,0.8890293464447983,0.7453109376523473,0.637235460442528,0.362764539557472,0.16466514597744875,True,False,False,-0.4509782973691552,-0.43153038203186855,0.14888464209649133,0.18351380628272285,0.03389830508474578,-0.01685995312332922,-0.020954162736158133,-0.390874670090696,-0.011421036879190827,0.011421036879190827,-0.3976339876134728,-0.20256555171855406,-0.3389830508474576,0.1259337546583208,0.07428074476233149,0.0480480602573401,-0.0480480602573401,False,False
2018-MNH1,2018,2017,59,21,1.7641624520307495,1.3565595009056333,5.286931783006914,5.8351324195681835,0.559322033898305,0.5607021381154026,0.4945231087358118,17.377118609296545,0.5888627582944972,0.4111372417055028,2.173772671606668,2.385375139052095,0.9322033898305084,0.40934428205699847,0.34359455147215134,0.1264895014665439,0.8735104985334561,1.6591872588327177,True,False,False,2.1288521221690018,1.625580095348322,5.361801807817431,5.644239555410278,0.5932203389830508,0.5531478035926888,0.5189659335331439,18.73273998525505,0.6396881860513409,0.3603118139486591,1.4752440914455782,2.0386108426217495,0.8813559322033898,0.669210949084417,0.46708044839466545,0.2673044843553538,0.7326955156446462,1.6591872588327177,True,False,False,0.36468967013825226,0.26902059444268867,0.07487002481051785,-0.19089286415790507,0.03389830508474578,-0.0075543345227138126,0.02444282479733212,1.3556213759585063,0.05082542775684373,-0.05082542775684373,-0.6985285801610899,-0.34676429643034545,-0.05084745762711862,0.25986666702741856,0.1234858969225141,0.14081498288880992,-0.1408149828888099,True,False
2018-MOH1,2018,2017,59,21,1.52516175170289,1.2173029920660663,6.6127176886435395,7.325906794021947,0.5932203389830508,0.4044942751778176,0.33356583622643116,8.210682301502551,0.2451675133688738,0.7548324866311262,1.8503548593277994,2.169998475644269,0.9152542372881356,0.5235162779957331,0.420188184098671,0.12965150195865638,0.8703484980413436,0.1488893704655366,True,False,True,1.541165285802538,1.230985124139641,6.8452855516163655,7.436627609080513,0.5932203389830508,0.3809396837263515,0.3239139241466875,7.747369475214968,0.23329261575938828,0.7667073842406117,1.7329523174527794,2.273512237670356,0.9152542372881356,0.5745074052955734,0.4161278132060682,0.07664031229722887,0.9233596877027711,0.1488893704655366,True,False,True,0.016003534099648054,0.013682132073574715,0.23256786297282606,0.11072081505856612,0.0,-0.0235545914514661,-0.00965191207974364,-0.4633128262875834,-0.011874897609485513,0.011874897609485457,-0.11740254187501997,0.10351376202608709,0.0,0.050991127299840344,-0.004060370892602805,-0.05301118966142751,0.05301118966142748,True,False
2018-NCH1,2018,2017,59,21,2.979494777137952,2.482418906745812,4.372019414532316,5.065629390052009,0.559322033898305,0.6732434640704079,0.5879450863807939,18.264798013102236,0.6422735936128614,0.3577264063871386,1.6672464988292384,1.9237277263984531,0.8983050847457628,0.591297758514769,0.4992622160816305,0.29508957500270705,0.704910424997293,427.1952615011856,False,False,False,2.6517991541757207,2.183925063043694,4.186944610752108,5.3176050481122905,0.559322033898305,0.6969310205328276,0.5593841358974541,16.56899913305054,0.6005081832645227,0.3994918167354773,1.1385061002531955,1.9292330895431633,0.6101694915254238,0.7872418118036613,0.5120351877556356,0.15780395440587913,0.8421960455941209,427.1952615011856,False,False,False,-0.3276956229622314,-0.2984938437021176,-0.1850748037802079,0.25197565806028166,0.0,0.023687556462419712,-0.028560950483339842,-1.6957988800516972,-0.041765410348338694,0.041765410348338694,-0.5287403985760428,0.005505363144710174,-0.288135593220339,0.1959440532888923,0.012772971674005096,-0.13728562059682792,0.13728562059682792,False,False
2018-NYH1,2018,2017,59,21,1.887245798097357,1.4763872393919153,1.8555259607411358,2.3964282707623177,0.3220338983050847,0.9312146485956247,0.8826929154805118,16.19831416698285,0.8563413012815213,0.1436586987184787,1.5518786637060396,1.7425331787406904,0.8305084745762712,0.6342990773410467,0.5634907980959132,0.4372755561749106,0.5627244438250893,0.07493076770731674,True,False,True,1.835566960209448,1.4608889415584123,3.1712027149254047,3.615501282930063,0.4915254237288136,0.8129137383728374,0.7630246783372889,15.34387129197982,0.6845883516864694,0.31541164831353063,1.606298053453369,2.224525136547102,0.8983050847457628,0.6211465222373844,0.4073137664643086,0.19101872784107488,0.8089812721589251,0.07493076770731674,True,False,True,-0.051678837887908946,-0.015498297833502983,1.3156767541842689,1.2190730121677453,0.16949152542372886,-0.11830091022278733,-0.11966823714322283,-0.8544428750030306,-0.17175294959505194,0.17175294959505194,0.054419389747329516,0.4819919578064116,0.06779661016949157,-0.013152555103662311,-0.15617703163160457,-0.24625682833383572,0.24625682833383578,False,False
