regime,environment,test_year,model,n,rmse,mae,r2,correlation
CV-E-B10,2017-GAH2,2017,G+E_T1,84,1.5130255998889055,1.1938643742013841,0.10668093523240874,0.3325675142948572
CV-E-B10,2017-GAH2,2017,G+E_T2,84,1.5105045332090339,1.2000632629346575,0.10965542640166304,0.3442163390247813
CV-E-B10,2017-IAH4,2017,G,326,2.780228623892411,2.380819509061368,-1.7154539604925936,0.2233144259195146
CV-E-B10,2017-IAH4,2017,G+E_T0,326,2.7978568677456117,2.3978662294668123,-1.7499982002222336,0.21925584891858957
CV-E-B10,2017-IAH4,2017,G+E_T1,326,2.906837520133539,2.5058374336330735,-1.9684035187704643,0.20550160424191302
CV-E-B10,2017-IAH4,2017,G+E_T2,326,2.977740809670077,2.578039571130901,-2.1149796167183785,0.2005704841719375
CV-E-B10,2017-ILH1,2017,G,173,2.4495556211221836,2.0771121846971807,-2.746385837741029,0.06555472256619117
CV-E-B10,2017-ILH1,2017,G+E_T0,173,2.456459073419365,2.0858436125297413,-2.7675320732844306,-0.0055309068972200165
CV-E-B10,2017-ILH1,2017,G+E_T1,173,2.367770226027503,1.9887754869049954,-2.5003945806785093,0.005282289791036703
CV-E-B10,2017-ILH1,2017,G+E_T2,173,2.4296464916308307,2.0540820103657804,-2.685734697190948,-0.0012115320269669423
CV-E-B10,2017-INH1,2017,G,163,3.456258018039255,3.1252404007740604,-3.42331470601635,0.18408405471501388
CV-E-B10,2017-INH1,2017,G+E_T0,163,2.3809054288818,2.038792664465332,-1.0990356636891296,0.30152973622552376
CV-E-B10,2017-INH1,2017,G+E_T1,163,2.086211101264775,1.7439032160634793,-0.6115806011891554,0.2715217508600627
CV-E-B10,2017-INH1,2017,G+E_T2,163,1.6793767381196196,1.3393091825253727,-0.044315667169518846,0.27621863013837616
CV-E-B10,2017-MIH1,2017,G,184,2.0884668236728934,1.752038733910259,-0.3630727453332916,0.25126386944826307
CV-E-B10,2017-MIH1,2017,G+E_T0,184,2.3222233803811125,1.988666587199855,-0.6852791948074106,0.31175517444320905
CV-E-B10,2017-MIH1,2017,G+E_T1,184,2.556334723981922,2.2008710017555457,-1.042204888404032,0.30303316404664643
CV-E-B10,2017-MIH1,2017,G+E_T2,184,2.4393197511167295,2.091702924063796,-0.8595220706048634,0.29593618726221405
CV-E-B10,2017-MNH1,2017,G,212,1.5721779484218037,1.1999275696905747,-0.03296491919358413,0.273981188594341
CV-E-B10,2017-MNH1,2017,G+E_T0,212,1.653106058335557,1.2928013012366817,-0.14204602504260477,0.06191973667399793
CV-E-B10,2017-MNH1,2017,G+E_T1,212,1.6553370644317111,1.2927329523451032,-0.1451306800675698,0.06648686939443427
CV-E-B10,2017-MNH1,2017,G+E_T2,212,1.6639713269971412,1.3030350305138931,-0.15710787248547176,0.053141853558424254
CV-E-B10,2017-NYH1,2017,G,204,1.851006255183751,1.4549859206428477,-0.33700437457947974,0.12424956649002332
CV-E-B10,2017-NYH1,2017,G+E_T0,204,1.738705014065877,1.3832511007067314,-0.17969263634143107,0.11960816680039793
