test_year,train_year_max,n_train_environments,n_test_environments,config,e_rank_requested,e_rank_effective,gamma_multiplier,alpha,diagnostic_only_no_selection,rmse,mae,r2,correlation,frozen_t1_rmse,rmse_minus_frozen_t1
2016,2015,23,18,diagnostic_rank32_gamma4,32,22,4.0,10.0,True,2.250754739417349,1.7723768192347715,0.13540459871311505,0.3813377091945504,2.7275218137129102,-0.4767670742955614
2017,2016,41,18,diagnostic_rank8_gamma0.5,8,8,0.5,10.0,True,2.6670654050496716,2.240117929775354,-0.20211754753684485,0.5366525226857455,2.262105036655891,0.4049603683937808
2017,2016,41,18,diagnostic_rank8_gamma1,8,8,1.0,10.0,True,2.680483822134526,2.2537033071992747,-0.2142440534408956,0.5354959541501279,2.262105036655891,0.41837878547863516
2017,2016,41,18,diagnostic_rank8_gamma2,8,8,2.0,10.0,True,3.0361477514442883,2.546122047980443,-0.5578491763640421,0.20039273040229938,2.262105036655891,0.7740427147883975
2017,2016,41,18,diagnostic_rank8_gamma4,8,8,4.0,10.0,True,2.99885902880034,2.5448682609181565,-0.5198184278420575,0.05062578091087149,2.262105036655891,0.736753992144449
2017,2016,41,18,diagnostic_rank16_gamma0.5,16,16,0.5,10.0,True,2.6764604897870883,2.2057257257543457,-0.21060169531009088,0.3491457173277287,2.262105036655891,0.4143554531311975
2017,2016,41,18,diagnostic_rank16_gamma1,16,16,1.0,10.0,True,3.193421915153724,2.6326332401896875,-0.7234242801619457,0.3379901282926089,2.262105036655891,0.9313168784978334
2017,2016,41,18,diagnostic_rank16_gamma2,16,16,2.0,10.0,True,2.9975428610322714,2.4934284849264903,-0.5184846558670584,0.385950105709332,2.262105036655891,0.7354378243763806
2017,2016,41,18,diagnostic_rank16_gamma4,16,16,4.0,10.0,True,2.554957697176131,2.0862835202462513,-0.10318165719380112,0.42733834435008783,2.262105036655891,0.29285266052024017
2017,2016,41,18,diagnostic_rank32_gamma0.5,32,32,0.5,10.0,True,3.866197080604565,3.1376619794164204,-1.5260827986770678,0.17637727949962126,2.262105036655891,1.604092043948674
2017,2016,41,18,diagnostic_rank32_gamma1,32,32,1.0,10.0,True,3.873457213435822,3.124213351710113,-1.535578908609085,0.1382236490584093,2.262105036655891,1.6113521767799313
2017,2016,41,18,diagnostic_rank32_gamma2,32,32,2.0,10.0,True,3.628121818588993,2.9436333269867743,-1.2245559112031543,0.0856083620274997,2.262105036655891,1.3660167819331024
2017,2016,41,18,diagnostic_rank32_gamma4,32,32,4.0,10.0,True,2.785900760698985,2.3555584687281965,-0.3116286314973722,0.26810584825702083,2.262105036655891,0.5237957240430942
2018,2017,59,21,diagnostic_rank8_gamma0.5,8,8,0.5,10.0,True,2.590270508773921,2.12978154935772,-0.11670305695378858,0.2045227926216091,2.552737444147713,0.0375330646262082
2018,2017,59,21,diagnostic_rank8_gamma1,8,8,1.0,10.0,True,2.600152180283079,2.142387818537555,-0.12523957185003787,0.17829896052996255,2.552737444147713,0.04741473613536629
2018,2017,59,21,diagnostic_rank8_gamma2,8,8,2.0,10.0,True,2.5449907761136146,2.0706122295653153,-0.07800279873604232,0.11170252252004122,2.552737444147713,-0.007746668034098292
2018,2017,59,21,diagnostic_rank8_gamma4,8,8,4.0,10.0,True,2.584719887603469,2.1010315812116613,-0.11192227871443095,-0.03240159061545969,2.552737444147713,0.03198244345575629
2018,2017,59,21,diagnostic_rank16_gamma0.5,16,16,0.5,10.0,True,2.658376530819761,2.167259727915938,-0.17619804013430485,0.15445159035474926,2.552737444147713,0.10563908667204824
2018,2017,59,21,diagnostic_rank16_gamma1,16,16,1.0,10.0,True,2.6207592489317872,2.133927761047657,-0.14314604296879518,0.1196805705972706,2.552737444147713,0.06802180478407438
2018,2017,59,21,diagnostic_rank16_gamma2,16,16,2.0,10.0,True,2.5925914974794475,2.0962190794437046,-0.1187051771015899,0.06136216125054253,2.552737444147713,0.03985405333173464
2018,2017,59,21,diagnostic_rank16_gamma4,16,16,4.0,10.0,True,2.697237846192605,2.181575470191629,-0.21083775099457602,-0.047020221696681345,2.552737444147713,0.14450040204489234
2018,2017,59,21,diagnostic_rank32_gamma0.5,32,32,0.5,10.0,True,2.570884157160284,2.0753316785077836,-0.10005013593351086,0.23505406758198708,2.552737444147713,0.01814671301257098
2018,2017,59,21,diagnostic_rank32_gamma1,32,32,1.0,10.0,True,2.5369479403901343,2.0397117758078,-0.07120002408293291,0.2295018207765045,2.552737444147713,-0.015789503757578593
